station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RKTI,2019-10-29 01:00,,,,,,
RKTI,2019-10-30 01:00,SCT,BKN,,0.00,200.00,
RKTI,2019-11-05 18:00,FEW,,,0.00,,
RKTI,2020-02-15 23:00,,,,,,
RKTI,2020-04-25 03:00,FEW,,,6000.00,,
RKTI,2020-04-25 07:00,FEW,BKN,,6000.00,15000.00,
RKTI,2020-05-19 06:00,BKN,BKN,,1500.00,3000.00,
RKTI,2020-07-20 07:00,FEW,BKN,BKN,1000.00,2000.00,4000.00
RKTI,2020-08-04 10:00,BKN,BKN,,3000.00,7000.00,
RKTI,2020-08-11 07:00,BKN,OVC,,1000.00,3000.00,
RKTI,2020-09-21 00:00,FEW,SCT,,700.00,25000.00,
RKTI,2020-10-07 23:00,SCT,,,200.00,,
RKTI,2020-11-16 02:00,SCT,BKN,,0.00,200.00,
RKTI,2020-12-29 01:00,FEW,SCT,,200.00,20000.00,
RKTI,2021-02-19 06:00,CLR,,,,,
RKTI,2021-03-28 15:00,OVC,,,1500.00,,
RKTI,2022-07-23 08:11,BKN,BKN,,4000.00,10000.00,
RKTI,2022-07-23 12:38,BKN,OVC,,2000.00,4000.00,
RKTI,2022-07-23 13:19,,,,,,
RKTI,2022-07-23 20:28,FEW,SCT,OVC,500.00,2000.00,3000.00
RKTI,2022-07-24 01:51,FEW,BKN,BKN,2000.00,3000.00,6000.00
RKTI,2022-07-24 02:15,FEW,BKN,BKN,2000.00,3000.00,6000.00
RKTI,2022-07-24 13:12,SCT,BKN,BKN,2000.00,2500.00,5000.00
RKTI,2022-07-24 20:35,SCT,BKN,,300.00,1000.00,
RKTI,2022-07-24 23:42,BKN,BKN,,1500.00,3000.00,
RKTI,2022-07-25 00:32,SCT,BKN,,1500.00,3000.00,
RKTI,2022-07-25 18:35,FEW,,,700.00,,
RKTI,2022-07-25 20:20,SCT,,,600.00,,
RKTI,2022-07-25 21:24,BKN,,,500.00,,
RKTI,2022-07-25 22:33,BKN,,,700.00,,
RKTI,2022-07-25 23:21,SCT,BKN,,1000.00,20000.00,
RKTI,2022-07-28 05:15,SCT,,,3500.00,,
RKTI,2022-07-28 06:19,SCT,,,4000.00,,
RKTI,2022-07-30 06:46,BKN,BKN,BKN,4000.00,13000.00,19000.00
RKTI,2022-07-30 07:39,BKN,BKN,,4000.00,10000.00,
RKTI,2022-07-30 08:33,BKN,BKN,,4000.00,10000.00,
RKTI,2022-07-30 21:08,BKN,OVC,,4000.00,10000.00,
RKTI,2022-07-30 23:25,FEW,BKN,BKN,2000.00,4000.00,10000.00
RKTI,2022-07-31 00:54,FEW,BKN,OVC,2000.00,4000.00,10000.00
RKTI,2022-07-31 04:32,FEW,OVC,,2000.00,4000.00,
RKTI,2022-07-31 23:50,,,,,,
RKTI,2022-08-01 14:39,BKN,,,4000.00,,
RKTI,2022-08-01 15:37,FEW,BKN,,2500.00,4000.00,
RKTI,2022-08-01 16:05,FEW,BKN,,2500.00,4000.00,
RKTI,2022-08-01 19:34,BKN,OVC,,4000.00,6000.00,
RKTI,2022-08-01 21:30,FEW,BKN,OVC,500.00,2500.00,3000.00
RKTI,2022-08-01 22:25,BKN,OVC,,500.00,3000.00,
RKTI,2022-08-01 23:39,,,,,,
RKTI,2022-08-02 00:13,FEW,BKN,OVC,500.00,1500.00,4000.00
RKTI,2022-08-02 01:33,FEW,BKN,,1000.00,3000.00,
RKTI,2022-08-02 04:45,FEW,BKN,BKN,2000.00,3000.00,20000.00
RKTI,2022-08-02 11:27,BKN,BKN,,4000.00,7000.00,
RKTI,2022-08-02 14:34,FEW,BKN,BKN,2000.00,2500.00,4000.00
RKTI,2022-08-02 21:47,BKN,OVC,,2000.00,3000.00,
RKTI,2022-08-02 22:56,,,,,,
RKTI,2022-08-02 23:41,FEW,FEW,BKN,500.00,1000.00,1500.00
RKTI,2022-08-03 01:40,FEW,BKN,BKN,500.00,1500.00,4000.00
RKTI,2022-08-03 02:44,BKN,OVC,,2000.00,3000.00,
RKTI,2022-08-03 03:50,BKN,BKN,,2000.00,3000.00,
RKTI,2022-08-03 04:49,SCT,BKN,,2000.00,3000.00,
RKTI,2022-08-03 06:20,SCT,BKN,,2000.00,3000.00,
RKTI,2022-08-03 07:35,SCT,BKN,,3000.00,5000.00,
RKTI,2022-08-03 15:34,SCT,BKN,,2000.00,3000.00,
RKTI,2022-08-03 19:16,BKN,,,2000.00,,
RKTI,2022-08-03 20:32,SCT,BKN,,1500.00,2000.00,
RKTI,2022-08-04 00:22,FEW,BKN,,1500.00,3000.00,
RKTI,2022-08-04 19:42,BKN,BKN,,3000.00,6000.00,
RKTI,2022-08-04 20:12,BKN,BKN,,2500.00,7000.00,
RKTI,2022-08-04 23:48,SCT,BKN,,1500.00,3000.00,
RKTI,2022-08-05 00:20,FEW,BKN,BKN,1500.00,3000.00,7000.00
RKTI,2022-08-06 13:41,FEW,BKN,,500.00,3000.00,
RKTI,2022-08-06 14:42,FEW,BKN,OVC,1000.00,1500.00,3000.00
RKTI,2022-08-06 15:37,FEW,SCT,BKN,1000.00,1500.00,3000.00
RKTI,2022-08-07 06:25,FEW,BKN,,4000.00,20000.00,
RKTI,2022-08-07 17:54,BKN,OVC,,3000.00,18000.00,
RKTI,2022-08-08 05:32,OVC,,,2700.00,,
RKTI,2022-08-08 06:14,OVC,,,2000.00,,
RKTI,2022-08-08 11:11,FEW,OVC,,500.00,1500.00,
RKTI,2022-08-08 16:30,FEW,FEW,OVC,200.00,1000.00,2000.00
RKTI,2022-08-08 21:38,FEW,BKN,OVC,500.00,1500.00,2500.00
RKTI,2022-08-08 22:40,FEW,BKN,OVC,500.00,1000.00,2000.00
RKTI,2022-08-09 04:35,FEW,BKN,OVC,2000.00,3000.00,5000.00
RKTI,2022-08-09 10:30,BKN,OVC,,3000.00,6000.00,
RKTI,2022-08-09 12:13,BKN,OVC,,3000.00,6000.00,
RKTI,2022-08-09 13:21,BKN,OVC,,3000.00,10000.00,
RKTI,2022-08-09 17:49,BKN,FEW,OVC,1000.00,1500.00,2000.00
RKTI,2022-08-09 18:06,BKN,FEW,OVC,1500.00,1500.00,3000.00
RKTI,2022-08-09 19:33,FEW,BKN,OVC,500.00,1500.00,3000.00
RKTI,2022-08-09 20:47,FEW,BKN,OVC,500.00,1500.00,3000.00
RKTI,2022-08-09 21:16,FEW,BKN,OVC,500.00,1500.00,3000.00
RKTI,2022-08-09 23:32,SCT,BKN,OVC,500.00,1000.00,2500.00
RKTI,2022-08-10 01:36,SCT,BKN,OVC,500.00,1000.00,2500.00
RKTI,2022-08-10 02:45,SCT,BKN,OVC,500.00,1500.00,2500.00
