station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RPVK,2017-10-24 11:00,,,,,,
RPVK,2017-10-30 08:00,SCT,,,2000.00,,
RPVK,2017-11-04 21:00,,,,,,
RPVK,2017-11-08 12:00,FEW,,,1600.00,,
RPVK,2017-12-22 06:00,FEW,,,4000.00,,
RPVK,2017-12-22 08:00,SCT,OVC,,1500.00,7000.00,
RPVK,2018-01-11 19:00,OVC,,,24000.00,,
RPVK,2018-02-08 12:00,SCT,BKN,,1600.00,24000.00,
RPVK,2018-04-04 14:00,FEW,,,1600.00,,
RPVK,2018-05-22 14:00,FEW,FEW,BKN,1800.00,2000.00,30000.00
RPVK,2018-05-27 11:00,FEW,SCT,,2000.00,30000.00,
RPVK,2018-08-28 13:00,SCT,BKN,,2000.00,10000.00,
RPVK,2018-09-02 13:00,FEW,SCT,,1600.00,7000.00,
RPVK,2018-10-31 13:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-10-31 15:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-10-31 17:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-10-31 18:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-10-31 19:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-10-31 20:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-10-31 21:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-11-03 10:00,SCT,SCT,BKN,1600.00,7000.00,24000.00
RPVK,2018-11-03 11:00,SCT,BKN,,1600.00,24000.00,
RPVK,2018-11-03 12:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-11-03 13:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-11-03 14:00,FEW,BKN,,1600.00,7000.00,
RPVK,2018-11-03 15:00,FEW,BKN,,1600.00,7000.00,
RPVK,2018-11-03 16:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-11-03 17:00,FEW,SCT,,1600.00,24000.00,
RPVK,2018-11-03 18:00,FEW,BKN,,1600.00,24000.00,
RPVK,2018-11-20 13:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2018-11-20 14:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2018-11-20 15:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2018-11-20 16:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2018-11-20 18:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2018-11-20 19:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2018-11-20 20:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2018-11-20 21:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2018-11-20 22:00,,,,,,
RPVK,2018-11-21 00:00,FEW,SCT,,1000.00,5000.00,
RPVK,2018-11-21 01:00,,,,,,
RPVK,2018-11-21 02:00,,,,,,
RPVK,2018-11-21 03:00,,,,,,
RPVK,2018-11-21 04:00,,,,,,
RPVK,2018-11-21 05:00,,,,,,
RPVK,2018-11-21 06:00,,,,,,
RPVK,2018-11-21 07:00,,,,,,
RPVK,2018-11-21 08:00,,,,,,
RPVK,2018-11-21 09:00,,,,,,
RPVK,2018-11-21 10:00,SCT,OVC,,2300.00,9000.00,
RPVK,2018-12-27 04:00,,,,,,
RPVK,2019-01-10 14:00,SCT,BKN,,2000.00,30000.00,
RPVK,2019-02-18 15:00,FEW,SCT,,2000.00,30000.00,
RPVK,2019-02-20 08:00,FEW,,,2000.00,,
RPVK,2019-03-20 23:00,BKN,,,100.00,,
RPVK,2019-03-21 15:00,FEW,,,1600.00,,
RPVK,2019-03-21 17:00,FEW,,,1600.00,,
RPVK,2019-03-21 18:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2019-03-21 19:00,BKN,,,1600.00,,
RPVK,2019-03-21 21:00,SCT,BKN,,1600.00,24000.00,
RPVK,2019-03-21 23:00,SCT,,,1700.00,,
RPVK,2019-03-22 00:00,FEW,,,1700.00,,
RPVK,2019-03-22 03:00,,,,,,
RPVK,2019-03-22 05:00,,,,,,
RPVK,2019-03-22 06:00,,,,,,
RPVK,2019-03-22 07:00,,,,,,
RPVK,2019-03-22 08:00,,,,,,
RPVK,2019-03-22 09:00,,,,,,
RPVK,2019-03-22 10:00,FEW,SCT,,1600.00,24000.00,
RPVK,2019-03-22 11:00,FEW,,,1600.00,,
RPVK,2019-03-22 12:00,FEW,,,1600.00,,
RPVK,2019-03-22 13:00,FEW,,,1600.00,,
RPVK,2019-03-22 14:00,SCT,BKN,,2000.00,10000.00,
RPVK,2019-05-13 09:00,,,,,,
RPVK,2019-05-13 10:00,,,,,,
RPVK,2019-05-13 11:00,,,,,,
RPVK,2019-05-13 12:00,,,,,,
RPVK,2019-05-13 13:00,,,,,,
RPVK,2019-09-23 20:00,FEW,BKN,,1600.00,24000.00,
RPVK,2019-10-22 10:00,FEW,,,1800.00,,
RPVK,2019-11-19 14:00,FEW,SCT,,1600.00,24000.00,
RPVK,2020-01-12 11:00,FEW,OVC,,2000.00,10000.00,
RPVK,2020-01-16 13:00,SCT,SCT,,1800.00,10000.00,
RPVK,2020-01-28 14:00,FEW,,,2000.00,,
RPVK,2020-01-30 14:00,FEW,,,2000.00,,
RPVK,2020-02-16 13:00,FEW,BKN,,2000.00,10000.00,
RPVK,2020-04-04 06:00,FEW,,,2000.00,,
RPVK,2020-05-05 14:00,FEW,SCT,BKN,5000.00,6000.00,6900.00
RPVK,2020-05-05 15:00,BKN,OVC,,4100.00,5000.00,
RPVK,2020-05-05 16:00,FEW,BKN,OVC,4300.00,5300.00,8500.00
RPVK,2020-05-05 17:00,FEW,,,8500.00,,
RPVK,2020-05-05 18:00,BKN,BKN,,2300.00,4700.00,
RPVK,2020-05-05 19:00,FEW,BKN,,1000.00,1400.00,
RPVK,2020-05-05 21:00,BKN,BKN,,1400.00,7100.00,
RPVK,2020-05-05 22:00,OVC,,,1200.00,,
RPVK,2020-05-05 23:00,FEW,,,1100.00,,
RPVK,2020-05-06 00:00,SCT,,,1100.00,,
RPVK,2020-05-06 01:00,FEW,,,1600.00,,
RPVK,2020-05-06 02:00,,,,,,
RPVK,2020-05-06 03:00,,,,,,
RPVK,2020-05-06 04:00,,,,,,
RPVK,2020-09-23 20:00,BKN,,,7700.00,,
RPVK,2020-09-27 14:00,FEW,SCT,BKN,2500.00,4400.00,10000.00
RPVK,2020-10-04 07:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2020-10-04 11:00,BKN,OVC,,7000.00,24000.00,
RPVK,2020-10-05 05:00,FEW,BKN,,1800.00,30000.00,
RPVK,2020-10-18 00:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2020-11-30 14:00,BKN,,,30000.00,,
RPVK,2021-02-16 13:00,SCT,BKN,,2000.00,30000.00,
RPVK,2021-02-16 14:00,FEW,BKN,OVC,2600.00,4300.00,7600.00
RPVK,2021-02-16 15:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2021-02-16 16:00,FEW,BKN,OVC,3200.00,4400.00,5200.00
RPVK,2021-02-16 17:00,BKN,OVC,,2200.00,2800.00,
RPVK,2021-02-16 18:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2021-02-16 19:00,SCT,SCT,OVC,2100.00,3400.00,7000.00
RPVK,2021-02-16 20:00,FEW,BKN,,2200.00,3900.00,
RPVK,2021-02-16 21:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2021-02-16 22:00,FEW,SCT,OVC,1700.00,2000.00,2400.00
RPVK,2021-02-16 23:00,OVC,,,2100.00,,
RPVK,2021-02-17 00:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2021-02-17 01:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2021-02-17 02:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2021-03-01 13:00,FEW,BKN,,2000.00,30000.00,
RPVK,2021-03-02 04:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2021-03-02 05:00,SCT,SCT,,1600.00,24000.00,
RPVK,2021-03-02 06:00,SCT,SCT,,1600.00,24000.00,
RPVK,2021-03-02 07:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2021-03-02 08:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2021-03-02 09:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2021-03-02 10:00,,,,,,
RPVK,2021-03-02 11:00,,,,,,
RPVK,2021-03-02 12:00,,,,,,
RPVK,2021-03-02 13:00,NCD,,,,,
RPVK,2021-03-02 14:00,FEW,,,2400.00,,
RPVK,2021-03-02 15:00,FEW,BKN,,1800.00,3600.00,
RPVK,2021-03-02 16:00,FEW,,,2100.00,,
RPVK,2021-03-02 17:00,SCT,SCT,,1700.00,2600.00,
RPVK,2021-03-02 18:00,FEW,,,2400.00,,
RPVK,2021-04-17 14:00,SCT,OVC,,1800.00,9000.00,
RPVK,2021-05-30 20:00,NCD,,,,,
RPVK,2022-06-29 14:00,SCT,BKN,,2000.00,10000.00,
RPVK,2022-07-20 12:00,FEW,,,1500.00,,
RPVK,2022-09-23 07:00,FEW,SCT,BKN,1300.00,1600.00,7000.00
RPVK,2022-09-23 08:00,FEW,BKN,OVC,1300.00,1600.00,7000.00
RPVK,2022-09-23 09:00,FEW,BKN,OVC,1300.00,1600.00,7000.00
RPVK,2022-09-23 10:00,FEW,OVC,,1300.00,7000.00,
RPVK,2022-11-09 14:00,FEW,SCT,,2000.00,30000.00,
RPVK,2023-04-20 23:00,SCT,SCT,,1600.00,7000.00,
RPVK,2023-07-12 23:00,SCT,SCT,OVC,1500.00,7000.00,24000.00
RPVK,2023-09-14 00:00,FEW,SCT,,1600.00,24000.00,
RPVK,2023-09-27 23:00,FEW,OVC,,1600.00,24000.00,
RPVK,2023-09-28 00:00,,,,,,
RPVK,2023-09-28 01:00,FEW,OVC,,1600.00,24000.00,
RPVK,2023-09-28 02:00,FEW,OVC,,1600.00,24000.00,
RPVK,2023-09-28 03:00,FEW,OVC,,1600.00,24000.00,
RPVK,2023-09-28 04:00,FEW,SCT,OVC,1300.00,7000.00,24000.00
RPVK,2023-09-28 05:00,FEW,SCT,OVC,1300.00,7000.00,24000.00
RPVK,2023-09-28 06:00,SCT,SCT,OVC,1600.00,7000.00,24000.00
RPVK,2023-09-28 07:00,SCT,SCT,OVC,1300.00,7000.00,24000.00
RPVK,2023-09-28 09:00,FEW,SCT,OVC,1300.00,7000.00,24000.00
RPVK,2023-09-28 10:00,FEW,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2023-10-28 12:00,FEW,,,1400.00,,
RPVK,2023-11-02 10:00,FEW,BKN,,1300.00,24000.00,
RPVK,2023-12-08 14:00,FEW,,,1800.00,,
RPVK,2024-01-11 12:00,FEW,BKN,OVC,1600.00,7000.00,24000.00
RPVK,2024-03-07 12:00,SCT,SCT,,1600.00,24000.00,
RPVK,2024-03-25 22:00,SCT,BKN,BKN,1600.00,7000.00,24000.00
RPVK,2024-03-25 23:00,SCT,BKN,OVC,1600.00,7000.00,24000.00
