station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SBAQ,2016-01-01 00:00,SCT,BKN,,3000.00,9000.00,
SBAQ,2016-01-01 01:00,SCT,BKN,,4000.00,9000.00,
SBAQ,2016-01-01 02:00,,,,,,
SBAQ,2016-01-01 20:00,SCT,FEW,BKN,3500.00,4000.00,10000.00
SBAQ,2016-01-01 21:00,SCT,BKN,,3500.00,7000.00,
SBAQ,2016-01-01 22:00,SCT,FEW,BKN,3500.00,4500.00,7000.00
SBAQ,2016-01-01 23:00,SCT,BKN,,3000.00,10000.00,
SBAQ,2016-01-02 00:00,,,,,,
SBAQ,2016-01-02 01:00,,,,,,
SBAQ,2016-01-02 02:00,SCT,BKN,,3500.00,9000.00,
SBAQ,2016-01-04 20:00,SCT,FEW,BKN,2000.00,4000.00,7000.00
SBAQ,2016-01-04 21:00,SCT,BKN,,4000.00,7000.00,
SBAQ,2016-01-04 22:00,SCT,BKN,,4000.00,7000.00,
SBAQ,2016-01-04 23:00,FEW,SCT,,4000.00,9000.00,
SBAQ,2016-01-05 00:00,,,,,,
SBAQ,2016-01-05 02:00,,,,,,
SBAQ,2016-01-05 20:00,SCT,,,4500.00,,
SBAQ,2016-01-05 21:00,FEW,,,4500.00,,
SBAQ,2016-01-05 22:00,FEW,,,4500.00,,
SBAQ,2016-01-05 23:00,,,,,,
SBAQ,2016-01-06 00:00,,,,,,
SBAQ,2016-01-06 01:00,,,,,,
SBAQ,2016-01-06 02:00,,,,,,
SBAQ,2016-01-06 20:00,SCT,,,4500.00,,
SBAQ,2016-01-06 21:00,FEW,,,4500.00,,
SBAQ,2016-01-06 22:00,,,,,,
SBAQ,2016-01-06 23:00,,,,,,
SBAQ,2016-01-07 00:00,,,,,,
SBAQ,2016-01-07 01:00,,,,,,
SBAQ,2016-01-07 02:00,,,,,,
SBAQ,2016-01-07 20:00,SCT,,,4000.00,,
SBAQ,2016-01-07 21:00,SCT,,,4000.00,,
SBAQ,2016-01-07 22:00,SCT,,,4500.00,,
SBAQ,2016-01-07 23:00,SCT,,,4500.00,,
SBAQ,2016-01-08 00:00,,,,,,
SBAQ,2016-01-08 01:00,,,,,,
SBAQ,2016-01-08 02:00,,,,,,
SBAQ,2016-01-08 20:00,SCT,FEW,BKN,4000.00,4500.00,9000.00
SBAQ,2016-01-08 21:00,SCT,BKN,,4000.00,10000.00,
SBAQ,2016-01-08 22:00,SCT,BKN,,4000.00,8000.00,
SBAQ,2016-01-08 23:00,SCT,BKN,,4000.00,8000.00,
SBAQ,2016-01-09 00:00,,,,,,
SBAQ,2016-01-09 01:00,,,,,,
SBAQ,2016-01-09 02:00,,,,,,
SBAQ,2016-01-11 20:00,BKN,BKN,,1000.00,10000.00,
SBAQ,2016-01-11 21:00,SCT,OVC,,2000.00,10000.00,
SBAQ,2016-01-11 22:00,SCT,BKN,,3000.00,7000.00,
SBAQ,2016-01-11 23:00,SCT,SCT,BKN,300.00,3000.00,7000.00
SBAQ,2016-01-12 00:00,BKN,OVC,,300.00,7000.00,
SBAQ,2016-01-12 01:00,BKN,OVC,,300.00,7000.00,
SBAQ,2016-01-12 02:00,SCT,SCT,BKN,300.00,3000.00,7000.00
SBAQ,2016-01-12 20:00,BKN,OVC,,500.00,8000.00,
SBAQ,2016-01-12 21:00,OVC,,,500.00,,
SBAQ,2016-01-12 22:00,BKN,OVC,,500.00,4000.00,
SBAQ,2016-01-13 00:00,BKN,OVC,,500.00,10000.00,
SBAQ,2016-01-13 01:00,BKN,OVC,,500.00,10000.00,
SBAQ,2016-01-13 02:00,BKN,OVC,,500.00,10000.00,
SBAQ,2016-01-13 20:00,BKN,BKN,,4000.00,8000.00,
SBAQ,2016-01-13 21:00,BKN,BKN,,4000.00,8000.00,
SBAQ,2016-01-13 22:00,SCT,BKN,BKN,1000.00,4000.00,8000.00
SBAQ,2016-01-13 23:00,SCT,BKN,,3000.00,8000.00,
SBAQ,2016-01-14 00:00,SCT,BKN,,3000.00,8000.00,
SBAQ,2016-01-14 01:00,BKN,BKN,,4000.00,8000.00,
SBAQ,2016-01-14 02:00,OVC,,,800.00,,
SBAQ,2016-01-14 20:00,FEW,BKN,OVC,1000.00,2500.00,10000.00
SBAQ,2016-01-14 21:00,SCT,BKN,OVC,500.00,1000.00,10000.00
SBAQ,2016-01-14 22:00,OVC,,,700.00,,
SBAQ,2016-01-14 23:00,OVC,,,700.00,,
SBAQ,2016-01-15 00:00,BKN,OVC,,500.00,7000.00,
SBAQ,2016-01-15 01:00,FEW,BKN,OVC,500.00,2000.00,7000.00
SBAQ,2016-01-15 02:00,BKN,OVC,,700.00,7000.00,
SBAQ,2016-01-15 20:00,BKN,OVC,,500.00,7000.00,
SBAQ,2016-01-15 21:00,SCT,BKN,OVC,500.00,1000.00,7000.00
SBAQ,2016-01-15 22:00,SCT,BKN,OVC,300.00,1000.00,2000.00
SBAQ,2016-01-15 23:00,FEW,BKN,OVC,300.00,1500.00,7000.00
SBAQ,2016-01-16 00:00,BKN,OVC,,400.00,7000.00,
SBAQ,2016-01-16 01:00,SCT,BKN,BKN,400.00,1500.00,7000.00
SBAQ,2016-01-16 02:00,SCT,BKN,,1500.00,7000.00,
SBAQ,2016-01-18 20:00,SCT,BKN,,4000.00,8000.00,
SBAQ,2016-01-18 21:00,SCT,BKN,,4500.00,8000.00,
SBAQ,2016-01-18 22:00,FEW,BKN,,4500.00,8000.00,
SBAQ,2016-01-18 23:00,,,,,,
SBAQ,2016-01-19 00:00,,,,,,
SBAQ,2016-01-19 01:00,,,,,,
SBAQ,2016-01-19 02:00,,,,,,
SBAQ,2016-01-19 20:00,SCT,OVC,,2000.00,8000.00,
SBAQ,2016-01-19 21:00,SCT,BKN,,4000.00,8000.00,
SBAQ,2016-01-19 22:00,SCT,BKN,,4000.00,8000.00,
SBAQ,2016-01-19 23:00,FEW,BKN,,3500.00,8000.00,
SBAQ,2016-01-20 00:00,BKN,BKN,,3000.00,8000.00,
SBAQ,2016-01-20 01:00,BKN,OVC,,3000.00,8000.00,
SBAQ,2016-01-20 02:00,SCT,BKN,,3500.00,8000.00,
SBAQ,2016-01-20 20:00,SCT,SCT,,4000.00,8000.00,
SBAQ,2016-01-20 22:00,SCT,,,4000.00,,
SBAQ,2016-01-20 23:00,,,,,,
SBAQ,2016-01-21 00:00,,,,,,
SBAQ,2016-01-21 01:00,,,,,,
SBAQ,2016-01-21 02:00,,,,,,
SBAQ,2016-01-21 20:00,,,,,,
SBAQ,2016-01-21 21:00,,,,,,
SBAQ,2016-01-21 23:00,,,,,,
SBAQ,2016-01-22 00:00,,,,,,
SBAQ,2016-01-22 01:00,,,,,,
SBAQ,2016-01-22 02:00,,,,,,
SBAQ,2016-01-22 20:00,SCT,,,4000.00,,
SBAQ,2016-01-22 21:00,SCT,,,4000.00,,
SBAQ,2016-01-22 22:00,SCT,SCT,,4000.00,8000.00,
SBAQ,2016-01-22 23:00,FEW,SCT,,4000.00,8000.00,
SBAQ,2016-01-23 00:00,,,,,,
SBAQ,2016-01-23 01:00,,,,,,
SBAQ,2016-01-23 02:00,,,,,,
SBAQ,2016-01-25 20:00,SCT,FEW,,4000.00,4500.00,
SBAQ,2016-01-25 21:00,SCT,FEW,,4000.00,4500.00,
SBAQ,2016-01-26 00:00,SCT,FEW,SCT,3500.00,4000.00,7000.00
SBAQ,2016-01-26 01:00,SCT,FEW,SCT,3500.00,4500.00,7000.00
SBAQ,2016-01-26 02:00,SCT,SCT,,4000.00,7000.00,
SBAQ,2016-01-26 20:00,SCT,FEW,BKN,4000.00,5000.00,8000.00
SBAQ,2016-01-26 21:00,SCT,SCT,,4500.00,8000.00,
SBAQ,2016-01-26 22:00,FEW,SCT,,4500.00,10000.00,
SBAQ,2016-01-27 00:00,,,,,,
SBAQ,2016-01-27 02:00,,,,,,
SBAQ,2016-01-27 20:00,SCT,SCT,OVC,300.00,3000.00,7000.00
SBAQ,2016-01-27 21:00,FEW,SCT,BKN,300.00,4000.00,7000.00
SBAQ,2016-01-27 22:00,SCT,OVC,,4000.00,7000.00,
SBAQ,2016-01-27 23:00,SCT,OVC,,4000.00,7000.00,
SBAQ,2016-01-28 00:00,SCT,OVC,,4500.00,7000.00,
SBAQ,2016-01-28 01:00,FEW,SCT,BKN,2000.00,4500.00,7000.00
SBAQ,2016-01-28 02:00,SCT,SCT,BKN,2000.00,4500.00,7000.00
SBAQ,2016-01-28 20:00,SCT,FEW,,3500.00,4000.00,
SBAQ,2016-01-28 21:00,SCT,SCT,,4000.00,4500.00,
SBAQ,2016-01-28 22:00,SCT,FEW,BKN,4000.00,4500.00,10000.00
SBAQ,2016-01-28 23:00,SCT,FEW,BKN,4000.00,4500.00,10000.00
SBAQ,2016-01-29 00:00,SCT,BKN,,4000.00,10000.00,
SBAQ,2016-01-29 01:00,FEW,BKN,,4000.00,10000.00,
SBAQ,2016-01-29 02:00,FEW,BKN,,4000.00,10000.00,
