station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SCFM,2016-01-12 15:00,BKN,,,2000.00,,
SCFM,2016-02-26 16:00,SCT,OVC,,3000.00,4000.00,
SCFM,2016-02-27 14:00,FEW,,,3000.00,,
SCFM,2016-03-17 13:00,FEW,SCT,,1500.00,3000.00,
SCFM,2016-03-21 13:00,SCT,,,4000.00,,
SCFM,2016-03-22 13:00,FEW,,,4000.00,,
SCFM,2016-05-09 11:00,,,,,,
SCFM,2016-05-28 13:00,,,,,,
SCFM,2016-06-01 15:00,OVC,,,100.00,,
SCFM,2016-06-03 15:00,FEW,,,3000.00,,
SCFM,2016-06-29 13:00,FEW,,,3000.00,,
SCFM,2016-08-19 16:00,SCT,,,2000.00,,
SCFM,2016-09-01 17:00,BKN,BKN,,3000.00,8000.00,
SCFM,2016-09-30 15:00,FEW,BKN,,2000.00,20000.00,
SCFM,2016-10-07 14:00,,,,,,
SCFM,2016-11-14 11:00,SCT,SCT,,2500.00,10000.00,
SCFM,2016-11-14 12:00,SCT,SCT,,2500.00,10000.00,
SCFM,2016-12-05 14:00,,,,,,
SCFM,2016-12-30 11:00,FEW,,,3000.00,,
SCFM,2017-01-16 14:00,SCT,,,2000.00,,
SCFM,2017-01-24 17:00,BKN,OVC,,3000.00,10000.00,
SCFM,2017-02-24 14:00,,,,,,
SCFM,2017-03-01 12:00,FEW,SCT,,3000.00,10000.00,
SCFM,2017-03-20 16:00,FEW,,,3000.00,,
SCFM,2017-04-10 15:00,FEW,,,2000.00,,
SCFM,2017-04-12 10:00,BKN,,,2000.00,,
SCFM,2017-06-30 15:00,,,,,,
SCFM,2017-07-11 14:00,FEW,,,4000.00,,
SCFM,2017-08-24 16:00,BKN,BKN,,2000.00,8000.00,
SCFM,2017-08-30 12:00,,,,,,
SCFM,2024-04-02 11:00,FEW,BKN,BKN,1500.00,2500.00,9000.00
SCFM,2024-04-02 12:00,FEW,BKN,,1500.00,9000.00,
SCFM,2024-04-02 13:00,SCT,BKN,,2500.00,9000.00,
SCFM,2024-04-02 14:00,FEW,BKN,,3000.00,9000.00,
SCFM,2024-04-02 15:00,FEW,BKN,,3000.00,9000.00,
SCFM,2024-04-02 16:00,FEW,SCT,,3000.00,10000.00,
SCFM,2024-04-02 17:00,FEW,,,3000.00,,
SCFM,2024-04-02 18:00,FEW,,,3000.00,,
SCFM,2024-04-02 19:00,FEW,,,3000.00,,
SCFM,2024-04-02 20:00,FEW,,,1500.00,,
SCFM,2024-04-03 11:00,SCT,SCT,,2500.00,10000.00,
SCFM,2024-04-03 12:00,FEW,SCT,,2500.00,10000.00,
SCFM,2024-04-03 14:00,FEW,BKN,,1500.00,10000.00,
SCFM,2024-04-03 15:00,FEW,BKN,,1500.00,10000.00,
SCFM,2024-04-03 17:00,FEW,BKN,,1500.00,10000.00,
SCFM,2024-04-03 18:00,FEW,BKN,,3000.00,10000.00,
SCFM,2024-04-03 19:00,FEW,BKN,,3000.00,10000.00,
SCFM,2024-04-03 20:00,SCT,BKN,,1500.00,10000.00,
SCFM,2024-04-04 11:00,FEW,SCT,,2500.00,3000.00,
SCFM,2024-04-04 12:00,SCT,,,2500.00,,
SCFM,2024-04-04 13:00,SCT,,,2500.00,,
SCFM,2024-04-04 14:00,FEW,,,2000.00,,
SCFM,2024-04-04 15:00,FEW,,,2000.00,,
SCFM,2024-04-04 16:00,FEW,,,2000.00,,
SCFM,2024-04-04 17:00,FEW,SCT,,2000.00,20000.00,
SCFM,2024-04-04 18:00,FEW,SCT,,2000.00,20000.00,
SCFM,2024-04-04 19:00,FEW,SCT,BKN,2000.00,10000.00,20000.00
SCFM,2024-04-04 21:00,SCT,BKN,,2000.00,8000.00,
SCFM,2024-04-05 11:00,SCT,SCT,,2700.00,10000.00,
SCFM,2024-04-05 12:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-05 13:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-05 14:00,SCT,BKN,,2000.00,10000.00,
SCFM,2024-04-05 15:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-05 16:00,SCT,BKN,,2000.00,10000.00,
SCFM,2024-04-05 17:00,SCT,BKN,,2000.00,10000.00,
SCFM,2024-04-05 18:00,SCT,BKN,,2000.00,10000.00,
SCFM,2024-04-05 19:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-05 20:00,FEW,SCT,BKN,2000.00,10000.00,20000.00
SCFM,2024-04-06 13:00,FEW,SCT,,1700.00,3000.00,
SCFM,2024-04-06 14:00,FEW,SCT,,2000.00,2700.00,
SCFM,2024-04-06 22:00,SCT,,,2700.00,,
SCFM,2024-04-06 23:00,FEW,,,3000.00,,
SCFM,2024-04-07 00:00,FEW,,,3000.00,,
SCFM,2024-04-08 11:00,SCT,,,2000.00,,
SCFM,2024-04-08 12:00,SCT,,,2000.00,,
SCFM,2024-04-08 13:00,SCT,,,2000.00,,
SCFM,2024-04-08 14:00,SCT,,,2000.00,,
SCFM,2024-04-08 15:00,SCT,,,2000.00,,
SCFM,2024-04-08 16:00,BKN,,,2000.00,,
SCFM,2024-04-08 17:00,SCT,,,2000.00,,
SCFM,2024-04-08 18:00,BKN,,,2000.00,,
SCFM,2024-04-08 19:00,FEW,,,2000.00,,
SCFM,2024-04-08 20:00,FEW,,,2000.00,,
SCFM,2024-04-09 11:00,BKN,,,3000.00,,
SCFM,2024-04-09 12:00,BKN,,,3000.00,,
SCFM,2024-04-09 13:00,BKN,,,2600.00,,
SCFM,2024-04-09 14:00,BKN,,,2600.00,,
SCFM,2024-04-09 15:00,BKN,,,2000.00,,
SCFM,2024-04-09 16:00,BKN,,,2000.00,,
SCFM,2024-04-09 17:00,BKN,,,1500.00,,
SCFM,2024-04-09 18:00,SCT,,,1500.00,,
SCFM,2024-04-09 19:00,SCT,,,2000.00,,
SCFM,2024-04-09 20:00,SCT,,,3000.00,,
SCFM,2024-04-10 11:00,,,,,,
SCFM,2024-04-10 12:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-10 13:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-10 14:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-10 15:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-10 17:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-10 19:00,FEW,BKN,,2000.00,10000.00,
SCFM,2024-04-10 20:00,FEW,BKN,,2000.00,8000.00,
SCFM,2024-04-11 01:00,FEW,,,3000.00,,
SCFM,2024-04-11 02:00,FEW,,,4000.00,,
SCFM,2024-04-11 03:00,FEW,,,4000.00,,
SCFM,2024-04-11 11:00,FEW,,,4000.00,,
SCFM,2024-04-11 12:00,FEW,,,2000.00,,
SCFM,2024-04-11 13:00,FEW,SCT,,2000.00,20000.00,
SCFM,2024-04-11 14:00,FEW,,,2000.00,,
SCFM,2024-04-11 15:00,FEW,,,3000.00,,
SCFM,2024-04-11 16:00,FEW,,,3000.00,,
SCFM,2024-04-11 17:00,FEW,,,3000.00,,
SCFM,2024-04-11 18:00,FEW,,,3000.00,,
SCFM,2024-04-11 19:00,,,,,,
SCFM,2024-04-11 20:00,,,,,,
SCFM,2024-04-11 23:00,FEW,SCT,,4000.00,20000.00,
SCFM,2024-04-12 00:00,FEW,SCT,,4000.00,20000.00,
SCFM,2024-04-12 11:00,FEW,BKN,,3000.00,10000.00,
