station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SEJD,2016-01-01 11:00,FEW,SCT,BKN,300.00,2300.00,10000.00
SEJD,2016-01-01 12:00,FEW,BKN,,2300.00,10000.00,
SEJD,2016-01-01 13:00,FEW,BKN,,2000.00,10000.00,
SEJD,2016-01-01 14:00,FEW,BKN,,2000.00,10000.00,
SEJD,2016-01-01 15:00,FEW,BKN,,2000.00,10000.00,
SEJD,2016-01-01 16:00,SCT,BKN,,2000.00,10000.00,
SEJD,2016-01-01 17:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-01 18:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-01 19:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-01 20:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-01 21:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-01 23:00,FEW,BKN,,2600.00,10000.00,
SEJD,2016-01-02 11:00,FEW,BKN,OVC,300.00,2300.00,10000.00
SEJD,2016-01-02 12:00,FEW,BKN,OVC,700.00,2300.00,10000.00
SEJD,2016-01-02 13:00,FEW,SCT,BKN,700.00,2300.00,10000.00
SEJD,2016-01-02 14:00,FEW,SCT,BKN,1000.00,2300.00,10000.00
SEJD,2016-01-02 15:00,FEW,SCT,BKN,1000.00,2300.00,10000.00
SEJD,2016-01-02 16:00,SCT,SCT,OVC,1000.00,2300.00,10000.00
SEJD,2016-01-02 17:00,BKN,BKN,,2300.00,10000.00,
SEJD,2016-01-02 18:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-02 19:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-02 20:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-02 21:00,SCT,BKN,,2300.00,10000.00,
SEJD,2016-01-02 22:00,SCT,BKN,,2600.00,10000.00,
SEJD,2016-01-02 23:00,SCT,BKN,,2600.00,10000.00,
SEJD,2016-01-03 11:00,FEW,BKN,,3000.00,10000.00,
SEJD,2016-01-03 12:00,FEW,BKN,,3000.00,10000.00,
SEJD,2016-01-03 13:00,FEW,BKN,,3000.00,10000.00,
SEJD,2016-01-03 14:00,FEW,BKN,,2000.00,10000.00,
SEJD,2016-01-03 15:00,FEW,BKN,,2000.00,10000.00,
SEJD,2016-01-03 16:00,FEW,BKN,,2000.00,10000.00,
SEJD,2016-01-03 17:00,FEW,BKN,,2000.00,10000.00,
