station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SGGR,2024-04-02 12:00,OVC,,,800.00,,
SGGR,2024-04-02 18:00,SCT,,,3300.00,,
SGGR,2024-04-02 21:00,FEW,,,3300.00,,
SGGR,2024-04-03 09:00,,,,,,
SGGR,2024-04-04 09:00,,,,,,
SGGR,2024-04-04 12:00,,,,,,
SGGR,2024-04-04 15:00,SCT,,,3300.00,,
SGGR,2024-04-04 18:00,SCT,,,3300.00,,
SGGR,2024-04-05 00:00,SCT,,,3300.00,,
SGGR,2024-04-05 12:00,,,,,,
SGGR,2024-04-05 15:00,,,,,,
SGGR,2024-04-05 21:00,,,,,,
SGGR,2024-04-06 00:00,,,,,,
SGGR,2024-04-06 12:00,,,,,,
SGGR,2024-04-06 15:00,,,,,,
SGGR,2024-04-06 18:00,SCT,,,3300.00,,
SGGR,2024-04-07 12:00,,,,,,
SGGR,2024-04-07 15:00,SCT,SCT,,3300.00,8000.00,
SGGR,2024-04-07 18:00,OVC,,,800.00,,
SGGR,2024-04-07 21:00,OVC,,,1000.00,,
SGGR,2024-04-08 12:00,SCT,,,3300.00,,
SGGR,2024-04-08 15:00,BKN,,,3300.00,,
SGGR,2024-04-08 18:00,BKN,,,3300.00,,
SGGR,2024-04-08 21:00,SCT,,,3300.00,,
SGGR,2024-04-09 12:00,,,,,,
SGGR,2024-04-09 15:00,SCT,,,3300.00,,
SGGR,2024-04-09 18:00,SCT,,,3300.00,,
SGGR,2024-04-09 21:00,BKN,,,3300.00,,
SGGR,2024-04-10 18:00,SCT,SCT,,3300.00,20000.00,
SGGR,2024-04-11 15:00,SCT,SCT,,3300.00,8000.00,
SGGR,2024-04-12 12:00,,,,,,
SGGR,2024-04-12 15:00,,,,,,
SGGR,2024-04-13 15:00,OVC,,,1500.00,,
SGGR,2024-04-13 18:00,SCT,SCT,,3300.00,8000.00,
SGGR,2024-04-13 21:00,OVC,,,1500.00,,
SGGR,2024-04-14 12:00,OVC,,,800.00,,
SGGR,2024-04-14 15:00,OVC,,,1000.00,,
SGGR,2024-04-14 18:00,OVC,,,1500.00,,
SGGR,2024-04-14 21:00,OVC,,,1500.00,,
SGGR,2024-04-15 12:00,OVC,,,1500.00,,
SGGR,2024-04-15 15:00,OVC,,,1500.00,,
SGGR,2024-04-15 18:00,OVC,,,1500.00,,
SGGR,2024-04-15 21:00,OVC,,,1500.00,,
SGGR,2024-04-16 00:00,OVC,,,1500.00,,
SGGR,2024-04-16 12:00,BKN,FEW,OVC,1000.00,3300.00,4000.00
SGGR,2024-04-16 15:00,OVC,,,1500.00,,
SGGR,2024-04-16 21:00,OVC,,,1500.00,,
SGGR,2024-04-17 12:00,OVC,,,1500.00,,
SGGR,2024-04-17 15:00,SCT,,,3300.00,,
SGGR,2024-04-18 09:00,,,,,,
SGGR,2024-04-18 12:00,,,,,,
SGGR,2024-04-19 12:00,,,,,,
SGGR,2024-04-19 15:00,FEW,,,3300.00,,
SGGR,2024-04-20 00:00,,,,,,
SGGR,2024-04-20 09:00,,,,,,
SGGR,2024-04-21 12:00,,,,,,
SGGR,2024-04-21 15:00,,,,,,
SGGR,2024-04-21 18:00,,,,,,
SGGR,2024-04-21 21:00,,,,,,
SGGR,2024-04-22 15:00,FEW,,,3300.00,,
SGGR,2024-04-22 18:00,SCT,,,3300.00,,
SGGR,2024-04-22 21:00,OVC,,,1000.00,,
SGGR,2024-04-23 15:00,SCT,,,3300.00,,
SGGR,2024-04-24 12:00,OVC,,,1700.00,,
SGGR,2024-04-24 15:00,OVC,,,1000.00,,
SGGR,2024-04-24 18:00,OVC,,,800.00,,
SGGR,2024-04-24 21:00,OVC,,,700.00,,
SGGR,2024-04-25 00:00,FEW,,,3300.00,,
SGGR,2024-04-25 12:00,,,,,,
SGGR,2024-04-25 15:00,,,,,,
