station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SGME,2022-09-22 21:00,,,,,,
SGME,2022-09-23 09:00,,,,,,
SGME,2022-09-23 18:00,,,,,,
SGME,2022-09-24 09:00,,,,,,
SGME,2022-09-24 15:00,,,,,,
SGME,2022-09-24 18:00,,,,,,
SGME,2022-09-24 21:00,,,,,,
SGME,2022-09-25 09:00,,,,,,
SGME,2022-09-25 12:00,OVC,,,1700.00,,
SGME,2022-09-25 21:00,,,,,,
SGME,2022-09-26 00:00,,,,,,
SGME,2022-09-26 09:00,OVC,,,1500.00,,
SGME,2022-09-26 12:00,OVC,,,1000.00,,
SGME,2022-09-26 15:00,,,,,,
SGME,2022-09-26 18:00,BKN,,,3000.00,,
SGME,2022-09-26 21:00,,,,,,
SGME,2022-09-27 09:00,OVC,,,1000.00,,
SGME,2022-09-27 12:00,OVC,,,1200.00,,
SGME,2022-09-27 18:00,OVC,,,1500.00,,
SGME,2022-09-27 21:00,OVC,,,1200.00,,
SGME,2022-09-28 12:00,OVC,,,900.00,,
SGME,2022-09-28 15:00,OVC,,,900.00,,
SGME,2022-09-28 18:00,OVC,,,800.00,,
SGME,2022-09-29 00:00,OVC,,,1200.00,,
SGME,2022-09-29 09:00,OVC,,,1000.00,,
SGME,2022-09-29 18:00,,,,,,
SGME,2022-09-30 09:00,OVC,,,2200.00,,
SGME,2022-09-30 12:00,SCT,OVC,,2700.00,6000.00,
SGME,2022-09-30 15:00,FEW,SCT,,3000.00,10000.00,
SGME,2022-09-30 21:00,SCT,,,3000.00,,
SGME,2022-10-01 09:00,,,,,,
SGME,2022-10-02 00:00,,,,,,
SGME,2022-10-02 09:00,,,,,,
SGME,2022-10-02 12:00,,,,,,
SGME,2022-10-02 15:00,SCT,BKN,,4000.00,7000.00,
SGME,2022-10-03 09:00,,,,,,
SGME,2022-10-03 12:00,SCT,BKN,,4000.00,7000.00,
SGME,2022-10-03 15:00,,,,,,
SGME,2022-10-03 18:00,,,,,,
SGME,2022-10-03 21:00,,,,,,
SGME,2022-10-04 00:00,,,,,,
SGME,2022-10-04 09:00,,,,,,
SGME,2022-10-04 12:00,,,,,,
SGME,2022-10-05 09:00,,,,,,
SGME,2022-10-06 12:00,BKN,OVC,,2500.00,9000.00,
SGME,2022-10-06 18:00,,,,,,
SGME,2022-10-07 09:00,,,,,,
SGME,2022-10-07 12:00,,,,,,
SGME,2022-10-07 15:00,,,,,,
SGME,2022-10-07 21:00,,,,,,
SGME,2022-10-08 09:00,,,,,,
SGME,2022-10-08 12:00,,,,,,
SGME,2022-10-08 15:00,,,,,,
SGME,2022-10-08 18:00,,,,,,
SGME,2022-10-08 21:00,,,,,,
SGME,2022-10-09 09:00,SCT,,,4000.00,,
SGME,2022-10-09 12:00,OVC,,,2500.00,,
SGME,2022-10-09 15:00,OVC,,,2500.00,,
SGME,2022-10-09 18:00,,,,,,
SGME,2022-10-09 21:00,OVC,,,2500.00,,
SGME,2022-10-10 09:00,OVC,,,1000.00,,
SGME,2022-10-10 12:00,BKN,OVC,,1000.00,9000.00,
SGME,2022-10-10 15:00,,,,,,
SGME,2022-10-11 00:00,,,,,,
SGME,2022-10-11 09:00,,,,,,
SGME,2022-10-11 12:00,,,,,,
SGME,2022-10-11 15:00,,,,,,
SGME,2022-10-11 21:00,,,,,,
SGME,2022-10-12 00:00,,,,,,
SGME,2022-10-12 09:00,,,,,,
SGME,2022-10-12 21:00,,,,,,
SGME,2022-10-13 09:00,,,,,,
SGME,2022-10-13 15:00,BKN,,,1700.00,,
SGME,2022-10-13 18:00,OVC,,,1000.00,,
SGME,2022-10-13 21:00,BKN,,,2000.00,,
SGME,2022-10-14 00:00,BKN,,,2500.00,,
SGME,2022-10-14 09:00,,,,,,
SGME,2022-10-14 12:00,,,,,,
SGME,2022-10-14 15:00,FEW,SCT,,4000.00,8000.00,
SGME,2022-10-14 21:00,FEW,SCT,,4000.00,20000.00,
SGME,2022-10-15 00:00,,,,,,
SGME,2022-10-15 09:00,,,,,,
SGME,2022-10-15 12:00,,,,,,
SGME,2022-10-15 15:00,SCT,,,4000.00,,
SGME,2022-10-15 18:00,SCT,,,4000.00,,
SGME,2022-10-15 21:00,SCT,,,4000.00,,
SGME,2022-10-16 09:00,,,,,,
SGME,2022-10-16 12:00,,,,,,
SGME,2022-10-16 15:00,FEW,,,4000.00,,
SGME,2022-10-16 18:00,FEW,,,4000.00,,
SGME,2022-10-16 21:00,FEW,,,4000.00,,
SGME,2022-10-17 09:00,,,,,,
SGME,2022-10-17 12:00,FEW,SCT,,3000.00,9000.00,
SGME,2022-10-18 00:00,FEW,SCT,,3000.00,10000.00,
SGME,2022-10-18 09:00,OVC,FEW,,3000.00,4000.00,
SGME,2022-10-18 21:00,BKN,,,1000.00,,
SGME,2022-10-19 09:00,SCT,SCT,,2700.00,10000.00,
SGME,2022-10-19 18:00,BKN,,,2500.00,,
SGME,2022-10-20 09:00,BKN,,,2000.00,,
SGME,2022-10-20 12:00,,,,,,
SGME,2022-10-20 15:00,OVC,,,1000.00,,
SGME,2022-10-21 00:00,,,,,,
SGME,2022-10-21 09:00,BKN,,,2500.00,,
SGME,2022-10-21 12:00,,,,,,
SGME,2022-10-21 15:00,,,,,,
SGME,2022-10-21 18:00,FEW,,,4000.00,,
SGME,2022-10-21 21:00,,,,,,
SGME,2022-10-22 00:00,,,,,,
SGME,2022-10-23 00:00,FEW,,,4000.00,,
SGME,2022-10-23 09:00,,,,,,
SGME,2022-10-23 12:00,,,,,,
SGME,2022-10-23 15:00,,,,,,
SGME,2022-10-23 18:00,FEW,,,4000.00,,
SGME,2022-10-23 21:00,,,,,,
SGME,2022-10-24 09:00,,,,,,
SGME,2022-10-25 00:00,,,,,,
SGME,2022-10-25 09:00,,,,,,
SGME,2022-10-25 12:00,,,,,,
SGME,2022-10-26 00:00,,,,,,
SGME,2022-10-26 09:00,,,,,,
SGME,2022-10-26 12:00,,,,,,
SGME,2022-10-26 18:00,BKN,,,2700.00,,
SGME,2022-10-27 12:00,OVC,,,600.00,,
SGME,2022-10-27 15:00,BKN,OVC,,1200.00,7000.00,
SGME,2022-10-27 18:00,OVC,,,1000.00,,
SGME,2022-10-28 00:00,BKN,,,2000.00,,
SGME,2022-10-28 09:00,OVC,,,600.00,,
SGME,2022-10-28 12:00,BKN,,,1500.00,,
SGME,2022-10-28 18:00,SCT,,,2000.00,,
SGME,2022-10-28 21:00,SCT,BKN,,3000.00,7000.00,
SGME,2022-10-29 09:00,,,,,,
SGME,2022-10-29 12:00,,,,,,
SGME,2022-10-31 09:00,OVC,,,1500.00,,
SGME,2022-10-31 12:00,OVC,,,1500.00,,
SGME,2022-11-01 18:00,,,,,,
SGME,2022-11-02 09:00,,,,,,
SGME,2022-11-02 12:00,,,,,,
SGME,2022-11-02 18:00,,,,,,
SGME,2022-11-02 21:00,,,,,,
SGME,2022-11-03 00:00,,,,,,
SGME,2022-11-03 09:00,,,,,,
SGME,2022-11-03 21:00,,,,,,
SGME,2022-11-04 00:00,,,,,,
SGME,2022-11-04 09:00,,,,,,
SGME,2022-11-04 12:00,,,,,,
SGME,2022-11-04 15:00,,,,,,
SGME,2022-11-04 18:00,,,,,,
SGME,2022-11-04 21:00,,,,,,
SGME,2022-11-05 09:00,,,,,,
SGME,2022-11-05 12:00,,,,,,
SGME,2022-11-05 15:00,,,,,,
SGME,2022-11-05 18:00,FEW,,,4000.00,,
SGME,2022-11-06 09:00,,,,,,
SGME,2022-11-06 12:00,,,,,,
SGME,2022-11-06 21:00,,,,,,
SGME,2022-11-07 09:00,,,,,,
SGME,2022-11-07 12:00,,,,,,
SGME,2022-11-07 15:00,,,,,,
SGME,2024-04-02 09:00,BKN,FEW,OVC,2200.00,4000.00,8000.00
SGME,2024-04-02 12:00,BKN,,,2000.00,,
SGME,2024-04-02 18:00,SCT,,,3000.00,,
SGME,2024-04-02 21:00,FEW,,,3200.00,,
SGME,2024-04-03 09:00,,,,,,
SGME,2024-04-04 09:00,,,,,,
SGME,2024-04-04 12:00,FEW,,,4000.00,,
SGME,2024-04-04 15:00,SCT,,,3000.00,,
SGME,2024-04-04 18:00,SCT,,,3300.00,,
SGME,2024-04-05 00:00,SCT,FEW,,2700.00,4000.00,
SGME,2024-04-05 12:00,OVC,,,1000.00,,
SGME,2024-04-05 21:00,OVC,,,1200.00,,
SGME,2024-04-06 00:00,OVC,,,1000.00,,
SGME,2024-04-06 09:00,OVC,,,1000.00,,
SGME,2024-04-06 12:00,OVC,,,1000.00,,
SGME,2024-04-06 15:00,FEW,,,2200.00,,
SGME,2024-04-06 18:00,FEW,,,3000.00,,
SGME,2024-04-07 12:00,,,,,,
SGME,2024-04-07 15:00,FEW,OVC,,4000.00,8000.00,
SGME,2024-04-07 18:00,FEW,BKN,,4000.00,8000.00,
SGME,2024-04-07 21:00,,,,,,
SGME,2024-04-08 12:00,BKN,,,1000.00,,
SGME,2024-04-08 15:00,BKN,,,1000.00,,
SGME,2024-04-08 18:00,OVC,,,1500.00,,
SGME,2024-04-08 21:00,OVC,,,1500.00,,
SGME,2024-04-09 12:00,FEW,SCT,,8000.00,8000.00,
SGME,2024-04-09 15:00,FEW,,,7000.00,,
