station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SKGI,2016-03-04 17:00,OVC,,,400.00,,
SKGI,2016-03-04 18:00,SCT,,,3000.00,,
SKGI,2016-03-04 19:00,SCT,,,4000.00,,
SKGI,2016-03-04 20:00,SCT,,,5000.00,,
SKGI,2016-03-04 21:00,SCT,,,5000.00,,
SKGI,2016-03-04 22:00,SCT,,,3000.00,,
SKGI,2016-03-04 23:00,SCT,,,3000.00,,
SKGI,2016-03-05 11:00,OVC,,,1000.00,,
SKGI,2016-03-05 12:00,BKN,,,3000.00,,
SKGI,2016-03-05 14:00,BKN,,,1500.00,,
SKGI,2016-03-05 18:00,SCT,,,8000.00,,
SKGI,2016-09-13 12:00,BKN,,,3000.00,,
SKGI,2016-09-18 12:00,BKN,,,3000.00,,
SKGI,2016-10-22 16:00,SCT,,,3000.00,,
SKGI,2016-10-29 14:00,BKN,,,4000.00,,
SKGI,2017-01-05 12:00,BKN,,,3000.00,,
SKGI,2017-02-12 18:00,SCT,,,5000.00,,
SKGI,2017-03-06 16:00,SCT,BKN,,1000.00,7000.00,
SKGI,2017-03-15 16:00,BKN,,,2000.00,,
SKGI,2017-04-01 00:00,,,,,,
SKGI,2017-07-02 17:00,SCT,,,4000.00,,
SKGI,2017-09-26 22:00,NSC,,,,,
SKGI,2017-10-08 17:00,SCT,,,4000.00,,
SKGI,2017-10-08 23:00,SCT,,,4000.00,,
SKGI,2017-10-11 22:00,BKN,,,5000.00,,
SKGI,2017-10-12 23:00,SCT,,,3000.00,,
SKGI,2017-10-14 23:00,BKN,,,7000.00,,
SKGI,2017-10-16 11:00,BKN,,,5000.00,,
SKGI,2017-10-16 12:00,BKN,,,5000.00,,
SKGI,2017-10-16 14:00,BKN,,,7000.00,,
SKGI,2017-10-16 15:00,BKN,,,7000.00,,
SKGI,2017-10-16 16:00,BKN,,,3000.00,,
SKGI,2017-10-18 13:00,BKN,,,7000.00,,
SKGI,2017-10-19 14:00,BKN,,,5000.00,,
SKGI,2017-11-18 23:00,SCT,,,3000.00,,
SKGI,2017-11-30 16:00,,,,,,
SKGI,2017-12-08 23:00,SCT,,,7000.00,,
SKGI,2017-12-11 23:00,BKN,,,5000.00,,
SKGI,2017-12-12 19:00,BKN,,,4000.00,,
SKGI,2017-12-12 20:00,BKN,,,4000.00,,
SKGI,2017-12-12 21:00,BKN,,,4000.00,,
SKGI,2017-12-12 22:00,SCT,,,4000.00,,
SKGI,2017-12-23 22:00,SCT,,,4000.00,,
SKGI,2018-02-19 13:00,BKN,,,4000.00,,
SKGI,2018-02-19 16:00,BKN,,,3000.00,,
SKGI,2018-02-27 22:00,SCT,,,3000.00,,
SKGI,2018-03-27 19:00,SCT,,,4000.00,,
SKGI,2018-04-10 16:00,OVC,,,1500.00,,
SKGI,2018-04-23 17:00,FEW,BKN,,3000.00,10000.00,
SKGI,2018-05-03 12:00,SCT,,,12000.00,,
SKGI,2018-05-04 12:00,SCT,BKN,,2000.00,5000.00,
SKGI,2018-05-09 12:00,SCT,BKN,,1000.00,4000.00,
SKGI,2018-05-16 22:00,SCT,,,4000.00,,
SKGI,2018-05-17 18:00,SCT,,,4000.00,,
SKGI,2018-05-17 19:00,SCT,,,5000.00,,
SKGI,2018-05-24 21:00,BKN,,,5000.00,,
SKGI,2018-05-29 12:00,SCT,,,3000.00,,
SKGI,2018-05-30 20:00,SCT,BKN,,3000.00,7000.00,
SKGI,2018-05-31 15:00,BKN,,,1500.00,,
SKGI,2018-05-31 23:00,SCT,,,3000.00,,
SKGI,2018-06-03 20:00,SCT,,,3000.00,,
SKGI,2018-06-08 17:00,BKN,,,5000.00,,
SKGI,2018-06-11 17:00,BKN,,,3000.00,,
SKGI,2018-06-11 23:00,BKN,,,3000.00,,
SKGI,2018-06-12 12:00,SCT,,,4000.00,,
SKGI,2018-06-14 12:00,BKN,,,3000.00,,
SKGI,2018-07-01 19:00,BKN,,,5000.00,,
SKGI,2018-07-01 22:00,SCT,,,5000.00,,
SKGI,2018-07-30 23:00,OVC,,,8000.00,,
SKGI,2018-08-01 11:00,SCT,,,7000.00,,
SKGI,2018-08-08 12:00,NSC,,,,,
SKGI,2018-08-13 23:00,BKN,,,4000.00,,
SKGI,2018-08-18 13:00,NSC,,,,,
SKGI,2018-08-20 20:00,BKN,,,7000.00,,
SKGI,2018-08-23 20:00,SCT,,,3000.00,,
SKGI,2018-08-28 13:00,NSC,,,,,
SKGI,2018-09-03 22:00,FEW,,,3000.00,,
SKGI,2018-09-14 19:00,BKN,,,2000.00,,
SKGI,2018-09-15 23:00,BKN,,,5000.00,,
SKGI,2018-09-16 12:00,FEW,OVC,,1000.00,3000.00,
SKGI,2018-09-16 13:00,SCT,OVC,,1000.00,2000.00,
SKGI,2018-09-16 15:00,FEW,BKN,,1000.00,4000.00,
SKGI,2018-09-16 16:00,FEW,BKN,,1000.00,5000.00,
SKGI,2018-09-16 17:00,SCT,BKN,,1000.00,5000.00,
SKGI,2018-09-18 22:00,NSC,,,,,
SKGI,2018-09-18 23:00,NSC,,,,,
SKGI,2018-09-25 11:00,NSC,,,,,
SKGI,2018-09-25 12:00,NSC,,,,,
SKGI,2018-09-25 13:00,NSC,,,,,
SKGI,2018-09-25 14:00,NSC,,,,,
