station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SLET,2016-01-02 11:00,SCT,BKN,FEW,800.00,1200.00,3000.00
SLET,2016-01-09 22:00,FEW,FEW,BKN,1700.00,3000.00,23000.00
SLET,2016-01-10 18:00,BKN,BKN,,2200.00,20000.00,
SLET,2016-01-17 10:00,SCT,SCT,,2300.00,20000.00,
SLET,2016-01-19 18:00,SCT,BKN,,2200.00,23000.00,
SLET,2016-01-25 21:00,SCT,FEW,BKN,2500.00,3000.00,23000.00
SLET,2016-02-01 18:00,SCT,BKN,,2200.00,7000.00,
SLET,2016-02-09 09:00,SCT,FEW,,600.00,3000.00,
SLET,2016-02-10 17:00,FEW,BKN,,2000.00,23000.00,
SLET,2016-02-16 09:00,SCT,OVC,,700.00,1200.00,
SLET,2016-02-22 15:00,SCT,BKN,BKN,800.00,1300.00,7000.00
SLET,2016-02-25 22:00,FEW,FEW,BKN,2000.00,2500.00,20000.00
SLET,2016-02-26 14:00,BKN,BKN,,700.00,1300.00,
SLET,2016-02-28 12:00,BKN,BKN,OVC,600.00,1200.00,7000.00
SLET,2016-03-01 20:00,FEW,BKN,,1500.00,2000.00,
SLET,2016-03-03 11:00,SCT,BKN,OVC,600.00,1700.00,7000.00
SLET,2016-03-07 13:00,SCT,BKN,,2300.00,7000.00,
SLET,2016-03-10 14:00,FEW,SCT,BKN,1200.00,9000.00,23000.00
SLET,2016-03-13 21:00,FEW,,,2300.00,,
SLET,2016-03-14 13:00,NSC,,,,,
SLET,2016-03-18 12:00,FEW,,,1700.00,,
SLET,2016-03-25 10:00,SCT,BKN,,1200.00,1700.00,
SLET,2016-03-28 19:00,BKN,BKN,,2000.00,20000.00,
SLET,2016-04-02 17:00,SCT,,,1700.00,,
SLET,2016-04-05 09:00,FEW,BKN,,500.00,20000.00,
SLET,2016-04-11 16:00,SCT,BKN,BKN,1300.00,2300.00,7000.00
SLET,2016-05-01 15:00,BKN,,,7000.00,,
SLET,2016-05-06 17:00,BKN,,,2000.00,,
SLET,2016-05-18 21:00,BKN,OVC,,1800.00,7000.00,
SLET,2016-06-24 23:00,NSC,,,,,
SLET,2016-07-04 11:00,FEW,BKN,,1700.00,7000.00,
SLET,2016-08-06 15:00,BKN,BKN,,2000.00,7000.00,
SLET,2016-08-07 15:00,BKN,OVC,,2000.00,8000.00,
SLET,2016-08-09 19:00,SCT,BKN,OVC,1700.00,2300.00,7000.00
SLET,2016-08-13 20:00,NSC,,,,,
SLET,2016-08-18 13:00,SCT,BKN,,1700.00,2000.00,
SLET,2016-08-29 11:00,SCT,BKN,OVC,700.00,2500.00,7000.00
SLET,2016-09-13 13:00,BKN,BKN,,2500.00,7000.00,
SLET,2016-09-24 10:00,BKN,,,7000.00,,
SLET,2016-09-27 14:00,SCT,BKN,,2000.00,20000.00,
SLET,2016-09-30 15:00,FEW,SCT,,2000.00,20000.00,
SLET,2016-10-14 16:00,SCT,BKN,BKN,2500.00,7000.00,20000.00
SLET,2016-10-26 19:00,BKN,OVC,,2500.00,7000.00,
SLET,2016-10-27 22:00,NSC,,,,,
SLET,2016-11-18 22:00,NSC,,,,,
SLET,2016-11-23 10:00,BKN,OVC,,2000.00,7000.00,
SLET,2016-12-11 22:00,FEW,SCT,,2000.00,20000.00,
SLET,2016-12-28 10:00,BKN,BKN,OVC,700.00,1500.00,7000.00
SLET,2016-12-29 17:00,BKN,BKN,,2000.00,20000.00,
SLET,2017-01-02 14:00,SCT,BKN,,1000.00,1500.00,
SLET,2017-01-03 20:00,FEW,BKN,BKN,1200.00,1700.00,20000.00
SLET,2017-01-04 17:00,SCT,BKN,BKN,1200.00,2000.00,20000.00
