station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SVCP,2017-11-23 16:00,,,,,,
SVCP,2025-04-25 18:03,NCD,,,,,
SVCP,2025-04-25 19:03,NCD,,,,,
SVCP,2025-04-25 20:03,NCD,,,,,
SVCP,2025-04-25 21:03,NCD,,,,,
SVCP,2025-04-25 22:03,NCD,,,,,
SVCP,2025-04-25 23:03,NCD,,,,,
SVCP,2025-04-26 00:03,NCD,,,,,
SVCP,2025-04-26 01:03,NCD,,,,,
SVCP,2025-04-26 02:03,NCD,,,,,
SVCP,2025-04-26 03:03,NCD,,,,,
SVCP,2025-04-26 04:03,NCD,,,,,
SVCP,2025-04-26 05:03,NCD,,,,,
SVCP,2025-04-26 06:03,NCD,,,,,
SVCP,2025-04-26 07:03,NCD,,,,,
SVCP,2025-04-26 08:03,NCD,,,,,
SVCP,2025-04-26 09:03,NCD,,,,,
SVCP,2025-04-26 10:03,NCD,,,,,
SVCP,2025-04-26 11:03,NCD,,,,,
SVCP,2025-04-26 12:03,NCD,,,,,
SVCP,2025-04-26 13:03,NCD,,,,,
SVCP,2025-04-26 14:03,NCD,,,,,
SVCP,2025-04-26 15:03,NCD,,,,,
SVCP,2025-04-26 16:03,NCD,,,,,
SVCP,2025-04-26 17:03,NCD,,,,,
SVCP,2025-04-26 18:03,NCD,,,,,
SVCP,2025-04-26 19:03,NCD,,,,,
SVCP,2025-04-26 20:03,NCD,,,,,
SVCP,2025-04-26 21:03,NCD,,,,,
SVCP,2025-04-26 22:03,NCD,,,,,
SVCP,2025-04-26 23:03,NCD,,,,,
SVCP,2025-04-27 00:03,NCD,,,,,
SVCP,2025-04-27 01:03,NCD,,,,,
SVCP,2025-04-27 02:03,NCD,,,,,
SVCP,2025-04-27 03:03,NCD,,,,,
SVCP,2025-04-27 04:03,NCD,,,,,
SVCP,2025-04-27 05:03,NCD,,,,,
SVCP,2025-04-27 06:03,NCD,,,,,
SVCP,2025-04-27 07:03,NCD,,,,,
SVCP,2025-04-27 08:03,NCD,,,,,
SVCP,2025-04-27 09:03,NCD,,,,,
SVCP,2025-04-27 10:03,NCD,,,,,
SVCP,2025-04-27 11:03,NCD,,,,,
SVCP,2025-04-27 12:03,NCD,,,,,
SVCP,2025-04-27 13:03,NCD,,,,,
SVCP,2025-04-27 14:03,NCD,,,,,
SVCP,2025-04-27 15:03,NCD,,,,,
SVCP,2025-04-27 16:03,NCD,,,,,
SVCP,2025-04-27 17:03,NCD,,,,,
SVCP,2025-04-27 18:03,NCD,,,,,
SVCP,2025-04-27 20:03,NCD,,,,,
SVCP,2025-04-27 21:03,NCD,,,,,
SVCP,2025-04-27 22:03,NCD,,,,,
SVCP,2025-04-27 23:03,NCD,,,,,
SVCP,2025-04-28 00:03,NCD,,,,,
SVCP,2025-04-28 01:03,NCD,,,,,
SVCP,2025-04-28 02:03,NCD,,,,,
SVCP,2025-04-28 03:03,NCD,,,,,
SVCP,2025-04-28 04:03,NCD,,,,,
SVCP,2025-04-28 05:03,NCD,,,,,
SVCP,2025-04-28 06:03,NCD,,,,,
SVCP,2025-04-28 07:03,NCD,,,,,
SVCP,2025-04-28 08:03,NCD,,,,,
SVCP,2025-04-28 09:03,NCD,,,,,
SVCP,2025-04-28 10:03,NCD,,,,,
SVCP,2025-04-28 11:03,NCD,,,,,
SVCP,2025-04-28 12:03,NCD,,,,,
SVCP,2025-04-28 13:03,NCD,,,,,
SVCP,2025-04-28 14:03,NCD,,,,,
SVCP,2025-04-28 15:03,NCD,,,,,
SVCP,2025-04-28 16:03,NCD,,,,,
SVCP,2025-04-28 17:03,NCD,,,,,
SVCP,2025-04-28 18:03,NCD,,,,,
SVCP,2025-04-28 19:03,NCD,,,,,
SVCP,2025-04-28 20:03,NCD,,,,,
SVCP,2025-04-28 21:03,NCD,,,,,
SVCP,2025-04-28 22:03,NCD,,,,,
SVCP,2025-04-28 23:03,NCD,,,,,
SVCP,2025-04-29 00:03,NCD,,,,,
SVCP,2025-04-29 01:03,NCD,,,,,
SVCP,2025-04-29 02:03,NCD,,,,,
SVCP,2025-04-29 03:03,NCD,,,,,
SVCP,2025-04-29 04:03,NCD,,,,,
SVCP,2025-04-29 05:03,NCD,,,,,
SVCP,2025-04-29 06:03,NCD,,,,,
SVCP,2025-04-29 07:03,NCD,,,,,
SVCP,2025-04-29 08:03,NCD,,,,,
SVCP,2025-04-29 09:03,NCD,,,,,
SVCP,2025-04-29 10:03,NCD,,,,,
SVCP,2025-04-29 11:03,NCD,,,,,
SVCP,2025-04-29 12:03,NCD,,,,,
SVCP,2025-04-29 13:03,NCD,,,,,
