station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SVCU,2016-01-01 01:00,,,,,,
SVCU,2016-01-01 02:00,,,,,,
SVCU,2016-01-01 03:00,,,,,,
SVCU,2016-01-01 09:00,,,,,,
SVCU,2016-01-01 11:00,,,,,,
SVCU,2016-01-01 13:00,FEW,,,1300.00,,
SVCU,2016-01-01 14:00,FEW,,,1300.00,,
SVCU,2016-01-01 15:00,FEW,,,1300.00,,
SVCU,2016-01-01 16:00,FEW,,,1300.00,,
SVCU,2016-01-01 18:00,FEW,,,1300.00,,
SVCU,2016-01-01 19:00,FEW,,,1300.00,,
SVCU,2016-01-01 20:00,FEW,,,1300.00,,
SVCU,2016-01-01 22:00,FEW,,,1300.00,,
SVCU,2016-01-01 23:00,,,,,,
SVCU,2016-01-02 02:00,,,,,,
SVCU,2016-01-02 10:00,,,,,,
SVCU,2016-01-02 14:00,SCT,,,1300.00,,
SVCU,2016-01-02 15:00,FEW,,,1300.00,,
SVCU,2016-01-02 17:00,,,,,,
SVCU,2016-01-02 19:00,FEW,,,1300.00,,
SVCU,2016-01-02 21:00,FEW,,,1300.00,,
SVCU,2016-01-02 23:00,FEW,,,1300.00,,
SVCU,2016-01-03 01:00,FEW,,,1300.00,,
SVCU,2016-01-03 09:00,,,,,,
SVCU,2016-01-03 11:00,,,,,,
SVCU,2016-01-03 14:00,,,,,,
SVCU,2016-01-03 15:00,FEW,,,1300.00,,
SVCU,2016-01-03 17:00,FEW,,,1300.00,,
SVCU,2016-01-03 18:00,FEW,,,1300.00,,
SVCU,2016-01-03 20:00,FEW,,,1300.00,,
SVCU,2016-01-03 21:00,FEW,,,1300.00,,
SVCU,2016-01-03 22:00,FEW,,,1300.00,,
SVCU,2016-01-03 23:00,,,,,,
SVCU,2016-01-04 01:00,,,,,,
SVCU,2016-01-04 03:00,,,,,,
SVCU,2016-01-04 06:00,,,,,,
SVCU,2016-01-04 09:00,,,,,,
SVCU,2016-01-04 11:00,,,,,,
SVCU,2016-01-04 12:00,,,,,,
SVCU,2016-01-04 13:00,,,,,,
SVCU,2016-01-04 14:00,,,,,,
SVCU,2016-01-05 01:00,,,,,,
SVCU,2016-01-05 03:00,,,,,,
SVCU,2016-01-05 09:00,,,,,,
SVCU,2016-01-05 12:00,,,,,,
SVCU,2016-01-05 17:00,FEW,,,1300.00,,
SVCU,2016-01-05 18:00,FEW,,,1300.00,,
SVCU,2016-01-05 20:00,FEW,,,1300.00,,
SVCU,2016-01-05 21:00,FEW,,,1300.00,,
SVCU,2016-01-05 22:00,FEW,,,1300.00,,
SVCU,2016-01-05 23:00,,,,,,
SVCU,2016-01-06 00:00,,,,,,
SVCU,2016-01-06 01:00,,,,,,
SVCU,2016-01-06 02:00,,,,,,
SVCU,2016-01-06 10:00,,,,,,
SVCU,2016-01-06 11:00,,,,,,
SVCU,2016-01-06 14:00,,,,,,
SVCU,2016-01-06 15:00,FEW,,,1300.00,,
SVCU,2016-01-06 16:00,FEW,,,1300.00,,
