station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SVJC,2016-01-02 20:00,SCT,,,1300.00,,
SVJC,2016-01-02 21:00,SCT,,,1300.00,,
SVJC,2016-01-02 22:00,SCT,,,1600.00,,
SVJC,2016-01-02 23:00,SCT,,,1300.00,,
SVJC,2016-01-03 14:00,SCT,,,2000.00,,
SVJC,2016-01-03 18:00,SCT,,,2000.00,,
SVJC,2016-01-03 20:00,FEW,,,2000.00,,
SVJC,2016-01-03 22:00,,,,,,
SVJC,2016-01-04 13:00,FEW,,,2000.00,,
SVJC,2016-01-04 14:00,FEW,,,2000.00,,
SVJC,2016-01-05 14:00,FEW,,,1300.00,,
SVJC,2016-01-05 15:00,FEW,,,1300.00,,
SVJC,2016-01-05 16:00,FEW,,,1300.00,,
SVJC,2016-01-05 17:00,FEW,,,1300.00,,
SVJC,2016-01-05 18:00,FEW,,,1300.00,,
SVJC,2016-01-05 20:00,FEW,,,1300.00,,
SVJC,2016-01-05 21:00,FEW,,,1300.00,,
SVJC,2016-01-05 23:00,FEW,,,1300.00,,
SVJC,2016-01-06 12:00,FEW,,,1300.00,,
SVJC,2016-01-06 13:00,FEW,,,1300.00,,
SVJC,2016-01-06 14:00,FEW,,,1300.00,,
SVJC,2016-01-06 15:00,FEW,,,1300.00,,
SVJC,2016-01-06 16:00,FEW,,,1300.00,,
SVJC,2016-01-06 17:00,FEW,,,1300.00,,
SVJC,2016-01-06 18:00,FEW,,,1300.00,,
SVJC,2016-01-06 19:00,FEW,,,1300.00,,
SVJC,2016-01-06 20:00,FEW,,,1300.00,,
SVJC,2016-01-06 21:00,FEW,,,1300.00,,
SVJC,2016-01-06 22:00,FEW,,,1300.00,,
SVJC,2016-01-06 23:00,FEW,,,1300.00,,
SVJC,2016-01-07 18:00,FEW,,,1300.00,,
SVJC,2016-01-07 19:00,FEW,,,1300.00,,
SVJC,2016-01-07 20:00,FEW,,,1300.00,,
SVJC,2016-01-08 18:00,FEW,,,1300.00,,
SVJC,2016-01-08 19:00,BKN,,,1300.00,,
SVJC,2016-01-08 20:00,FEW,,,1300.00,,
