station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
SVPA,2021-06-26 21:03,NCD,,,,,
SVPA,2021-06-26 22:03,NCD,,,,,
SVPA,2021-06-26 23:03,NCD,,,,,
SVPA,2021-06-27 00:03,NCD,,,,,
SVPA,2021-06-27 01:03,NCD,,,,,
SVPA,2021-06-27 02:03,NCD,,,,,
SVPA,2021-06-27 03:03,NCD,,,,,
SVPA,2021-06-27 04:03,NCD,,,,,
SVPA,2021-06-27 05:03,NCD,,,,,
SVPA,2021-06-27 06:03,NCD,,,,,
SVPA,2021-06-27 07:03,NCD,,,,,
SVPA,2021-06-27 08:03,NCD,,,,,
SVPA,2021-06-27 09:03,NCD,,,,,
SVPA,2021-06-27 10:03,NCD,,,,,
SVPA,2021-06-27 11:03,NCD,,,,,
SVPA,2021-06-27 12:03,NCD,,,,,
SVPA,2021-06-27 13:03,NCD,,,,,
SVPA,2021-06-27 15:03,NCD,,,,,
SVPA,2021-06-27 16:03,NCD,,,,,
SVPA,2021-06-27 17:03,NCD,,,,,
SVPA,2021-06-27 18:03,NCD,,,,,
SVPA,2021-06-27 19:03,NCD,,,,,
SVPA,2021-06-27 20:03,NCD,,,,,
SVPA,2021-06-27 21:03,NCD,,,,,
SVPA,2021-06-27 22:03,NCD,,,,,
SVPA,2021-06-27 23:03,NCD,,,,,
SVPA,2021-06-28 00:03,NCD,,,,,
SVPA,2021-06-28 01:03,NCD,,,,,
SVPA,2021-06-28 03:03,NCD,,,,,
SVPA,2021-06-28 04:03,NCD,,,,,
SVPA,2021-06-28 05:03,NCD,,,,,
SVPA,2021-06-28 07:03,NCD,,,,,
SVPA,2021-06-28 08:03,NCD,,,,,
SVPA,2021-06-28 09:03,NCD,,,,,
SVPA,2021-06-28 10:03,NCD,,,,,
SVPA,2021-06-28 11:03,NCD,,,,,
SVPA,2021-06-28 12:03,NCD,,,,,
SVPA,2021-06-28 13:03,NCD,,,,,
SVPA,2021-06-28 14:03,NCD,,,,,
SVPA,2021-07-02 23:03,NCD,,,,,
SVPA,2021-07-03 00:03,NCD,,,,,
SVPA,2021-07-03 01:03,NCD,,,,,
SVPA,2021-07-03 02:03,NCD,,,,,
SVPA,2021-07-03 03:03,NCD,,,,,
SVPA,2021-07-03 04:03,NCD,,,,,
SVPA,2021-07-03 05:03,NCD,,,,,
SVPA,2021-07-03 06:03,NCD,,,,,
SVPA,2021-07-03 07:03,NCD,,,,,
SVPA,2021-07-03 08:03,NCD,,,,,
SVPA,2021-07-03 09:03,NCD,,,,,
SVPA,2021-07-03 10:03,NCD,,,,,
SVPA,2021-07-03 11:03,NCD,,,,,
SVPA,2021-07-03 12:03,NCD,,,,,
SVPA,2021-07-03 13:03,NCD,,,,,
SVPA,2021-07-03 14:03,NCD,,,,,
SVPA,2021-07-03 16:03,NCD,,,,,
SVPA,2021-07-03 17:03,NCD,,,,,
SVPA,2021-07-03 18:03,NCD,,,,,
SVPA,2021-07-03 19:03,NCD,,,,,
SVPA,2021-07-03 20:03,NCD,,,,,
SVPA,2021-07-03 22:03,NCD,,,,,
SVPA,2021-07-03 23:03,NCD,,,,,
SVPA,2021-07-04 00:03,NCD,,,,,
SVPA,2021-07-04 01:03,NCD,,,,,
SVPA,2021-07-04 02:03,NCD,,,,,
SVPA,2021-07-04 03:03,NCD,,,,,
SVPA,2021-07-04 04:03,NCD,,,,,
SVPA,2021-07-04 05:03,NCD,,,,,
SVPA,2021-07-04 06:03,NCD,,,,,
SVPA,2021-07-04 07:03,NCD,,,,,
SVPA,2021-07-04 08:03,NCD,,,,,
SVPA,2021-07-04 09:03,NCD,,,,,
SVPA,2021-07-04 10:03,NCD,,,,,
SVPA,2021-07-04 11:03,NCD,,,,,
SVPA,2021-07-04 13:03,NCD,,,,,
SVPA,2021-07-04 14:03,NCD,,,,,
SVPA,2021-07-04 15:03,NCD,,,,,
SVPA,2021-07-04 16:03,NCD,,,,,
SVPA,2021-07-04 17:03,NCD,,,,,
SVPA,2021-07-04 18:03,NCD,,,,,
SVPA,2021-07-04 19:03,NCD,,,,,
SVPA,2021-07-04 20:03,NCD,,,,,
SVPA,2021-07-04 21:03,NCD,,,,,
SVPA,2021-07-04 22:03,NCD,,,,,
SVPA,2021-07-04 23:03,NCD,,,,,
SVPA,2021-07-05 00:03,NCD,,,,,
SVPA,2021-07-05 01:03,NCD,,,,,
SVPA,2021-07-05 03:03,NCD,,,,,
SVPA,2021-07-05 04:03,NCD,,,,,
SVPA,2021-07-05 05:03,NCD,,,,,
SVPA,2021-07-05 06:03,NCD,,,,,
SVPA,2021-07-05 07:03,NCD,,,,,
SVPA,2021-07-05 08:03,NCD,,,,,
SVPA,2021-07-05 09:03,NCD,,,,,
SVPA,2021-07-05 10:03,NCD,,,,,
SVPA,2021-07-05 11:03,NCD,,,,,
SVPA,2021-07-05 12:03,NCD,,,,,
SVPA,2021-07-05 14:03,NCD,,,,,
SVPA,2021-07-05 15:03,NCD,,,,,
SVPA,2021-07-05 16:03,NCD,,,,,
SVPA,2021-07-05 17:03,NCD,,,,,
SVPA,2021-07-05 18:03,NCD,,,,,
SVPA,2021-07-05 19:03,NCD,,,,,
SVPA,2021-07-05 20:03,NCD,,,,,
SVPA,2021-07-05 22:03,NCD,,,,,
SVPA,2021-07-06 00:03,NCD,,,,,
SVPA,2021-07-06 01:03,NCD,,,,,
SVPA,2021-07-06 02:03,NCD,,,,,
SVPA,2021-07-06 03:03,NCD,,,,,
SVPA,2021-07-06 04:03,NCD,,,,,
SVPA,2021-07-06 05:03,NCD,,,,,
SVPA,2021-07-06 06:03,NCD,,,,,
SVPA,2021-07-06 07:03,NCD,,,,,
SVPA,2021-07-06 08:03,NCD,,,,,
SVPA,2021-07-06 09:03,NCD,,,,,
SVPA,2021-07-06 10:03,NCD,,,,,
SVPA,2021-07-06 11:03,NCD,,,,,
SVPA,2021-07-06 12:03,NCD,,,,,
SVPA,2021-07-06 13:03,NCD,,,,,
SVPA,2021-07-06 14:03,NCD,,,,,
