station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
TVSM,2018-01-02 18:00,SCT,,,2000.00,,
TVSM,2018-01-02 19:00,BKN,,,1700.00,,
TVSM,2018-01-02 20:00,SCT,,,1700.00,,
TVSM,2018-01-02 21:00,SCT,,,1700.00,,
TVSM,2018-01-03 11:00,SCT,,,1500.00,,
TVSM,2018-01-03 12:00,SCT,,,1700.00,,
TVSM,2018-01-03 13:00,SCT,,,1700.00,,
TVSM,2018-01-03 14:00,FEW,,,2000.00,,
TVSM,2018-01-03 15:00,SCT,,,2000.00,,
TVSM,2018-01-03 16:00,SCT,,,2000.00,,
TVSM,2018-01-03 17:00,SCT,,,1600.00,,
TVSM,2018-01-03 18:00,SCT,,,1800.00,,
TVSM,2018-01-03 19:00,SCT,,,2000.00,,
TVSM,2018-01-03 20:00,SCT,,,1500.00,,
TVSM,2018-01-03 21:00,SCT,,,1600.00,,
TVSM,2018-01-04 12:00,SCT,,,1500.00,,
TVSM,2018-01-04 13:00,SCT,,,1700.00,,
TVSM,2018-01-04 14:00,SCT,,,2000.00,,
TVSM,2018-01-04 15:00,SCT,,,2000.00,,
TVSM,2018-01-04 16:00,SCT,,,2000.00,,
TVSM,2018-01-04 17:00,SCT,,,1700.00,,
TVSM,2018-01-04 18:00,SCT,,,1700.00,,
TVSM,2018-01-04 19:00,FEW,,,2000.00,,
TVSM,2018-01-04 20:00,SCT,,,1600.00,,
TVSM,2018-01-04 21:00,SCT,,,1600.00,,
TVSM,2018-01-05 14:00,SCT,,,1700.00,,
TVSM,2018-01-05 15:00,SCT,,,1700.00,,
TVSM,2018-01-05 16:00,SCT,BKN,,1600.00,3200.00,
TVSM,2018-01-05 17:00,BKN,,,1900.00,,
TVSM,2018-01-05 18:00,SCT,,,2400.00,,
TVSM,2018-01-05 19:00,BKN,,,1900.00,,
TVSM,2018-01-05 20:00,SCT,,,2000.00,,
TVSM,2018-01-06 12:00,SCT,BKN,,1600.00,3500.00,
TVSM,2018-01-06 13:00,SCT,BKN,,1600.00,3000.00,
TVSM,2018-01-06 14:00,BKN,,,1500.00,,
TVSM,2018-01-06 15:00,BKN,,,1600.00,,
TVSM,2018-01-06 16:00,BKN,,,1500.00,,
TVSM,2018-01-07 17:00,FEW,,,2200.00,,
TVSM,2018-01-07 18:00,SCT,,,1800.00,,
TVSM,2018-01-07 19:00,SCT,,,1800.00,,
TVSM,2018-01-07 20:00,BKN,,,1600.00,,
TVSM,2018-01-07 21:00,SCT,,,1600.00,,
TVSM,2018-01-08 12:00,SCT,,,2000.00,,
TVSM,2018-01-08 14:00,SCT,,,1700.00,,
TVSM,2018-01-08 15:00,BKN,,,1500.00,,
TVSM,2018-01-08 16:00,SCT,,,2000.00,,
TVSM,2018-01-08 18:00,BKN,,,1900.00,,
TVSM,2018-01-08 19:00,BKN,,,2000.00,,
TVSM,2018-01-08 20:00,BKN,,,1900.00,,
TVSM,2018-01-09 13:00,SCT,,,1700.00,,
TVSM,2018-01-09 14:00,BKN,,,17600.00,,
TVSM,2018-01-09 15:00,SCT,,,1600.00,,
TVSM,2018-01-09 16:00,BKN,,,1600.00,,
TVSM,2018-01-09 17:00,BKN,,,1600.00,,
TVSM,2018-01-09 18:00,BKN,,,1900.00,,
TVSM,2018-01-09 19:00,BKN,,,2000.00,,
TVSM,2018-01-09 20:00,BKN,,,2000.00,,
TVSM,2018-01-10 12:00,SCT,,,1500.00,,
TVSM,2018-01-10 13:00,BKN,,,1500.00,,
TVSM,2018-01-10 14:00,SCT,,,1700.00,,
TVSM,2018-01-10 15:00,SCT,,,1700.00,,
TVSM,2018-01-10 16:00,BKN,,,1200.00,,
TVSM,2018-01-10 17:00,BKN,,,1600.00,,
TVSM,2018-01-10 18:00,BKN,,,1700.00,,
TVSM,2018-01-10 19:00,SCT,BKN,,1600.00,3600.00,
TVSM,2018-01-10 20:00,SCT,,,1700.00,,
TVSM,2018-01-10 21:00,BKN,,,1600.00,,
TVSM,2018-01-11 12:00,BKN,,,1600.00,,
TVSM,2018-01-11 13:00,BKN,,,1500.00,,
TVSM,2018-01-11 14:00,SCT,BKN,,1700.00,1900.00,
TVSM,2018-01-11 15:00,SCT,,,1900.00,,
TVSM,2018-01-11 16:00,BKN,,,1800.00,,
TVSM,2018-01-11 17:00,SCT,,,1800.00,,
TVSM,2018-01-11 18:00,SCT,,,1500.00,,
TVSM,2018-01-11 19:00,SCT,,,1700.00,,
TVSM,2018-01-11 20:00,SCT,BKN,,1500.00,2500.00,
TVSM,2018-01-11 21:00,SCT,,,1500.00,,
TVSM,2018-01-12 12:00,BKN,,,1500.00,,
TVSM,2018-01-12 18:00,SCT,,,1700.00,,
TVSM,2018-01-12 19:00,SCT,,,1700.00,,
TVSM,2018-01-12 20:00,BKN,,,1700.00,,
TVSM,2018-01-12 21:00,SCT,,,1700.00,,
TVSM,2018-01-13 12:00,SCT,,,1500.00,,
TVSM,2018-01-13 13:00,SCT,,,1600.00,,
TVSM,2018-01-13 14:00,SCT,,,1600.00,,
TVSM,2018-01-13 15:00,SCT,,,2000.00,,
TVSM,2018-01-13 17:00,SCT,,,1600.00,,
TVSM,2018-01-13 18:00,SCT,,,1600.00,,
TVSM,2018-01-13 19:00,BKN,,,1800.00,,
TVSM,2018-01-13 20:00,SCT,,,2000.00,,
TVSM,2018-01-14 15:00,SCT,,,2000.00,,
TVSM,2018-01-14 16:00,BKN,,,2000.00,,
TVSM,2018-01-14 17:00,FEW,BKN,,1500.00,2000.00,
TVSM,2018-01-14 18:00,BKN,,,2000.00,,
TVSM,2018-01-14 19:00,SCT,,,2000.00,,
TVSM,2018-01-14 20:00,SCT,,,1600.00,,
TVSM,2018-01-14 21:00,BKN,,,1500.00,,
TVSM,2018-01-15 12:00,SCT,,,1700.00,,
TVSM,2018-01-15 13:00,SCT,,,1700.00,,
TVSM,2018-01-15 14:00,FEW,,,2500.00,,
TVSM,2018-01-15 15:00,SCT,,,2000.00,,
TVSM,2018-01-15 16:00,BKN,,,2000.00,,
TVSM,2018-01-15 17:00,SCT,,,1600.00,,
TVSM,2018-01-15 18:00,SCT,,,2000.00,,
TVSM,2018-01-15 19:00,SCT,,,1800.00,,
TVSM,2018-01-15 20:00,SCT,,,1700.00,,
TVSM,2018-01-15 21:00,SCT,,,2000.00,,
TVSM,2018-01-16 12:00,SCT,,,2000.00,,
TVSM,2018-01-16 13:00,FEW,,,2000.00,,
TVSM,2018-01-16 14:00,FEW,,,2000.00,,
