station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
UKLR,2016-01-01 04:00,BKN,,,800.00,,
UKLR,2016-01-01 05:00,BKN,,,600.00,,
UKLR,2016-01-01 06:00,SCT,BKN,,600.00,10000.00,
UKLR,2016-01-01 07:00,OVC,,,10000.00,,
UKLR,2016-01-01 08:00,,,,,,
UKLR,2016-01-01 09:00,,,,,,
UKLR,2016-01-01 10:00,FEW,BKN,,1600.00,10000.00,
UKLR,2016-01-01 12:00,FEW,BKN,,1600.00,10000.00,
UKLR,2016-01-01 13:00,FEW,BKN,,2000.00,10000.00,
UKLR,2016-01-01 14:00,SCT,BKN,,2000.00,10000.00,
UKLR,2016-01-01 15:00,SCT,BKN,,2000.00,10000.00,
UKLR,2016-01-02 04:00,,,,,,
UKLR,2016-01-02 05:00,,,,,,
UKLR,2016-01-02 06:00,,,,,,
UKLR,2016-01-02 07:00,,,,,,
UKLR,2016-01-02 08:00,OVC,,,1200.00,,
UKLR,2016-01-02 09:00,BKN,,,1400.00,,
UKLR,2016-01-02 10:00,FEW,,,1300.00,,
UKLR,2016-01-02 11:00,BKN,,,1400.00,,
UKLR,2016-01-02 12:00,BKN,,,1600.00,,
UKLR,2016-01-02 13:00,BKN,,,1600.00,,
UKLR,2016-01-02 14:00,SCT,BKN,,1900.00,10000.00,
UKLR,2016-01-02 15:00,SCT,BKN,,1500.00,10000.00,
UKLR,2016-01-03 04:00,SCT,BKN,,1500.00,1500.00,
UKLR,2016-01-03 05:00,SCT,BKN,,1500.00,1500.00,
UKLR,2016-01-03 06:00,FEW,BKN,,1400.00,1400.00,
UKLR,2016-01-03 07:00,SCT,BKN,,1400.00,1400.00,
UKLR,2016-01-03 08:00,OVC,,,1100.00,,
UKLR,2016-01-03 09:00,BKN,,,1300.00,,
UKLR,2016-01-03 10:00,BKN,,,1400.00,,
UKLR,2016-01-03 11:00,SCT,,,1300.00,,
UKLR,2016-01-03 12:00,FEW,,,1600.00,,
UKLR,2016-01-03 13:00,FEW,,,1600.00,,
UKLR,2016-01-03 14:00,,,,,,
UKLR,2016-01-03 15:00,,,,,,
UKLR,2016-01-04 04:00,,,,,,
UKLR,2016-01-04 05:00,,,,,,
UKLR,2016-01-04 06:00,,,,,,
UKLR,2016-01-04 07:00,,,,,,
UKLR,2016-01-04 08:00,,,,,,
UKLR,2016-01-04 09:00,,,,,,
UKLR,2016-01-04 10:00,,,,,,
UKLR,2016-01-04 11:00,,,,,,
UKLR,2016-01-04 12:00,BKN,,,700.00,,
UKLR,2016-01-04 13:00,OVC,,,700.00,,
UKLR,2016-01-04 14:00,OVC,,,700.00,,
UKLR,2016-01-04 15:00,OVC,,,700.00,,
UKLR,2016-01-05 04:00,OVC,,,900.00,,
UKLR,2016-01-05 05:00,OVC,,,900.00,,
UKLR,2016-01-05 06:00,OVC,,,1000.00,,
UKLR,2016-01-05 07:00,OVC,,,600.00,,
UKLR,2016-01-05 08:00,BKN,OVC,,600.00,10000.00,
UKLR,2016-01-05 09:00,BKN,OVC,,600.00,10000.00,
UKLR,2016-01-05 10:00,SCT,OVC,,600.00,10000.00,
UKLR,2016-01-05 11:00,BKN,OVC,,600.00,10000.00,
UKLR,2016-01-05 12:00,BKN,OVC,,1200.00,10000.00,
UKLR,2016-01-05 13:00,BKN,OVC,,800.00,10000.00,
UKLR,2016-01-05 14:00,BKN,OVC,,800.00,10000.00,
UKLR,2016-01-05 15:00,OVC,,,600.00,,
UKLR,2016-01-06 04:00,FEW,OVC,,3000.00,10000.00,
UKLR,2016-01-06 05:00,FEW,OVC,,3000.00,10000.00,
