station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VAKS,2022-04-06 06:00,NSC,,,,,
VAKS,2022-04-06 07:00,NSC,,,,,
VAKS,2022-04-07 11:00,NSC,,,,,
VAKS,2022-04-07 12:00,NSC,,,,,
VAKS,2022-04-16 06:00,NSC,,,,,
VAKS,2022-04-16 07:00,NSC,,,,,
VAKS,2022-04-16 08:00,NSC,,,,,
VAKS,2022-04-16 09:00,NSC,,,,,
VAKS,2022-04-16 10:00,NSC,,,,,
VAKS,2022-04-16 11:00,NSC,,,,,
VAKS,2022-04-16 12:00,NSC,,,,,
VAKS,2022-04-17 07:00,NSC,,,,,
VAKS,2022-04-17 08:00,NSC,,,,,
VAKS,2022-04-17 09:00,NSC,,,,,
VAKS,2022-04-20 07:00,SCT,BKN,,2000.00,8000.00,
VAKS,2022-04-20 08:00,FEW,BKN,,2000.00,8000.00,
VAKS,2022-04-20 09:00,SCT,BKN,,2000.00,8000.00,
VAKS,2022-04-20 10:00,FEW,BKN,,2000.00,8000.00,
VAKS,2022-04-22 07:00,FEW,,,8000.00,,
VAKS,2022-04-22 08:00,SCT,SCT,,2500.00,8000.00,
VAKS,2022-04-22 09:00,FEW,SCT,,2500.00,8000.00,
VAKS,2022-04-23 06:00,NSC,,,,,
VAKS,2022-04-23 07:00,NSC,,,,,
VAKS,2022-04-23 08:00,NSC,,,,,
VAKS,2022-04-23 09:00,NSC,,,,,
VAKS,2022-04-23 10:00,FEW,NSC,,2500.00,,
VAKS,2022-04-23 11:00,FEW,,,2500.00,,
VAKS,2022-04-24 07:00,NSC,,,,,
VAKS,2022-04-24 08:00,NSC,,,,,
VAKS,2022-04-24 09:00,NSC,,,,,
VAKS,2022-04-27 07:00,NSC,,,,,
VAKS,2022-04-27 08:00,FEW,,,2000.00,,
VAKS,2022-04-27 09:00,FEW,,,2000.00,,
VAKS,2022-04-29 07:00,NSC,,,,,
VAKS,2022-04-29 08:00,NSC,,,,,
VAKS,2022-04-29 09:00,NSC,,,,,
VAKS,2022-05-01 05:00,NSC,,,,,
VAKS,2022-05-01 06:00,NSC,,,,,
VAKS,2022-05-01 07:00,NSC,,,,,
VAKS,2022-05-01 08:00,NSC,,,,,
VAKS,2022-05-01 09:00,FEW,,,2500.00,,
VAKS,2022-05-04 07:00,NSC,,,,,
VAKS,2022-05-04 08:00,NSC,,,,,
VAKS,2022-05-04 09:00,NSC,,,,,
VAKS,2022-05-04 12:00,NSC,,,,,
VAKS,2022-05-05 08:00,NSC,,,,,
VAKS,2022-05-06 07:00,NSC,,,,,
VAKS,2022-05-06 08:00,NSC,,,,,
VAKS,2022-05-06 09:00,FEW,,,2500.00,,
VAKS,2022-05-06 10:00,FEW,,,2500.00,,
VAKS,2022-05-08 07:00,NSC,,,,,
VAKS,2022-05-08 08:00,NSC,,,,,
VAKS,2022-05-08 09:00,NSC,,,,,
VAKS,2022-05-11 07:00,FEW,,,8000.00,,
VAKS,2022-05-11 08:00,NSC,,,,,
VAKS,2022-05-11 09:00,NSC,,,,,
VAKS,2022-05-11 10:00,NSC,,,,,
VAKS,2022-05-13 07:00,NSC,,,,,
VAKS,2022-05-13 08:00,NSC,,,,,
VAKS,2022-05-13 09:00,NSC,,,,,
VAKS,2022-05-13 10:00,NSC,,,,,
VAKS,2022-05-15 07:00,FEW,,,8000.00,,
VAKS,2022-05-15 08:00,SCT,,,2500.00,,
VAKS,2022-05-15 09:00,FEW,,,2500.00,,
VAKS,2022-05-16 05:00,NSC,,,,,
VAKS,2022-05-16 06:00,NSC,,,,,
