station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VAOZ,2023-04-14 13:30,SCT,SCT,,3000.00,10000.00,
VAOZ,2023-04-14 14:00,SCT,SCT,,3000.00,10000.00,
VAOZ,2023-04-14 15:00,SCT,SCT,,2000.00,9000.00,
VAOZ,2023-04-14 16:30,SCT,SCT,,2000.00,10000.00,
VAOZ,2023-04-15 08:30,SCT,,,3000.00,,
VAOZ,2023-04-15 09:30,SCT,FEW,,3000.00,3000.00,
VAOZ,2023-04-15 10:30,FEW,SCT,FEW,2500.00,3000.00,4000.00
VAOZ,2023-04-15 11:30,FEW,SCT,FEW,2500.00,3000.00,4000.00
VAOZ,2023-04-15 12:00,FEW,SCT,FEW,2500.00,3000.00,4000.00
VAOZ,2023-04-15 13:30,SCT,FEW,SCT,3000.00,4000.00,9000.00
VAOZ,2023-04-15 14:00,SCT,FEW,SCT,3000.00,4000.00,9000.00
VAOZ,2023-04-15 16:00,FEW,SCT,,10000.00,30000.00,
VAOZ,2023-04-15 17:00,SCT,,,30000.00,,
VAOZ,2023-04-16 02:30,NSC,,,,,
VAOZ,2023-04-16 03:00,NSC,,,,,
VAOZ,2023-04-16 04:30,NSC,,,,,
VAOZ,2023-04-16 05:30,NSC,,,,,
VAOZ,2023-04-16 06:00,NSC,,,,,
VAOZ,2023-04-16 07:30,FEW,,,4000.00,,
VAOZ,2023-04-16 08:00,FEW,,,4000.00,,
VAOZ,2023-04-16 10:30,SCT,FEW,,3000.00,4000.00,
VAOZ,2023-04-16 11:30,SCT,FEW,,3000.00,4000.00,
VAOZ,2023-04-16 12:30,SCT,FEW,SCT,3000.00,4000.00,30000.00
VAOZ,2023-04-16 13:00,SCT,FEW,SCT,3000.00,4000.00,30000.00
VAOZ,2023-04-16 14:30,SCT,FEW,SCT,3000.00,4000.00,10000.00
VAOZ,2023-04-16 15:30,SCT,FEW,BKN,3000.00,4000.00,10000.00
VAOZ,2023-04-16 16:30,SCT,SCT,,3000.00,10000.00,
VAOZ,2023-04-16 17:00,SCT,SCT,,3000.00,10000.00,
VAOZ,2023-04-17 02:30,FEW,,,3000.00,,
VAOZ,2023-04-17 03:30,FEW,,,3000.00,,
VAOZ,2023-04-17 04:30,FEW,,,3000.00,,
VAOZ,2023-04-17 05:30,FEW,,,4000.00,,
VAOZ,2023-04-17 06:30,FEW,,,4000.00,,
VAOZ,2023-04-17 07:30,SCT,,,4000.00,,
VAOZ,2023-04-17 08:30,SCT,,,4000.00,,
VAOZ,2023-04-17 09:30,SCT,,,4000.00,,
VAOZ,2023-04-17 10:00,SCT,,,4000.00,,
VAOZ,2023-04-17 13:30,SCT,,,3000.00,,
VAOZ,2023-04-17 14:00,FEW,,,3000.00,,
VAOZ,2023-04-17 16:30,NSC,,,,,
VAOZ,2023-04-17 17:00,NSC,,,,,
VAOZ,2023-04-18 05:30,SCT,SCT,,4000.00,10000.00,
VAOZ,2023-04-18 06:30,FEW,SCT,,2000.00,3000.00,
VAOZ,2023-04-18 07:00,FEW,SCT,,2000.00,3000.00,
VAOZ,2023-04-18 08:00,SCT,,,3000.00,,
VAOZ,2023-04-18 09:30,FEW,SCT,,3000.00,4000.00,
VAOZ,2023-04-18 10:30,SCT,SCT,,3000.00,30000.00,
VAOZ,2023-04-18 11:30,SCT,,,3000.00,,
VAOZ,2023-04-18 12:30,SCT,,,3000.00,,
VAOZ,2023-04-18 13:30,SCT,FEW,SCT,3000.00,4000.00,30000.00
VAOZ,2023-04-18 14:30,SCT,SCT,,3000.00,30000.00,
VAOZ,2023-04-18 15:30,SCT,,,3000.00,,
VAOZ,2023-04-18 16:30,FEW,,,3000.00,,
VAOZ,2023-04-18 17:00,FEW,,,3000.00,,
VAOZ,2023-04-19 02:30,NSC,,,,,
VAOZ,2023-04-19 03:30,NSC,,,,,
VAOZ,2023-04-19 04:30,SCT,SCT,,10000.00,25000.00,
VAOZ,2023-04-19 05:30,SCT,,,4000.00,,
VAOZ,2023-04-19 06:30,FEW,,,4000.00,,
VAOZ,2023-04-19 07:30,SCT,,,4000.00,,
VAOZ,2023-04-19 08:30,FEW,SCT,,3000.00,4000.00,
VAOZ,2023-04-19 09:30,SCT,,,3000.00,,
VAOZ,2023-04-19 10:00,SCT,,,3000.00,,
VAOZ,2023-04-19 11:30,FEW,,,3000.00,,
VAOZ,2023-04-19 12:30,FEW,,,3000.00,,
VAOZ,2023-04-19 13:30,FEW,,,3000.00,,
VAOZ,2023-04-19 14:00,NSC,,,,,
VAOZ,2023-04-19 15:30,NSC,,,,,
VAOZ,2023-04-19 16:30,NSC,,,,,
VAOZ,2023-04-19 17:00,NSC,,,,,
VAOZ,2023-04-20 02:30,FEW,SCT,,3000.00,5000.00,
VAOZ,2023-04-20 03:30,FEW,SCT,,3000.00,5000.00,
VAOZ,2023-04-20 04:30,FEW,,,4000.00,,
VAOZ,2023-04-20 05:00,FEW,,,4000.00,,
VAOZ,2023-04-20 06:30,SCT,,,3000.00,,
VAOZ,2023-04-20 07:30,SCT,SCT,,3000.00,9000.00,
VAOZ,2023-04-20 08:30,SCT,FEW,SCT,3000.00,4000.00,9000.00
VAOZ,2023-04-20 09:30,SCT,FEW,,3000.00,4000.00,
VAOZ,2023-04-20 10:30,SCT,FEW,,2500.00,4000.00,
VAOZ,2023-04-20 11:30,SCT,,,2500.00,,
VAOZ,2023-04-20 12:00,SCT,SCT,,3000.00,10000.00,
VAOZ,2023-04-20 13:30,SCT,,,3000.00,,
VAOZ,2023-04-20 14:30,SCT,,,3000.00,,
VAOZ,2023-04-20 15:30,SCT,,,3000.00,,
VAOZ,2023-04-20 16:30,SCT,FEW,SCT,2000.00,3000.00,3000.00
VAOZ,2023-04-20 17:00,SCT,FEW,,3000.00,3000.00,
VAOZ,2023-04-21 02:30,NSC,,,,,
VAOZ,2023-04-21 03:30,NSC,,,,,
VAOZ,2023-04-21 04:30,NSC,,,,,
VAOZ,2023-04-21 05:00,NSC,,,,,
VAOZ,2023-04-21 06:30,FEW,,,3000.00,,
VAOZ,2023-04-21 07:30,FEW,,,3000.00,,
VAOZ,2023-04-21 08:30,FEW,,,3000.00,,
VAOZ,2023-04-21 09:30,FEW,,,3000.00,,
VAOZ,2023-04-21 10:00,FEW,,,3000.00,,
VAOZ,2023-04-21 11:30,FEW,,,3000.00,,
VAOZ,2023-04-21 12:30,FEW,,,3000.00,,
VAOZ,2023-04-21 13:30,FEW,,,3000.00,,
VAOZ,2023-04-21 14:30,NSC,,,,,
VAOZ,2023-04-21 15:30,NSC,,,,,
VAOZ,2023-04-21 16:30,NSC,,,,,
VAOZ,2023-04-22 02:30,FEW,,,10000.00,,
VAOZ,2023-04-22 03:30,,,,,,
VAOZ,2023-04-22 04:00,,,,,,
VAOZ,2023-04-22 05:30,FEW,,,3000.00,,
VAOZ,2023-04-22 06:00,FEW,,,3000.00,,
VAOZ,2023-04-22 07:30,SCT,,,3000.00,,
VAOZ,2023-04-22 08:30,SCT,,,3000.00,,
VAOZ,2023-04-22 09:30,SCT,,,3000.00,,
VAOZ,2023-04-22 10:30,SCT,,,3000.00,,
VAOZ,2023-04-22 11:30,SCT,,,3000.00,,
VAOZ,2023-04-22 12:00,SCT,,,3000.00,,
VAOZ,2023-04-22 13:30,FEW,,,3000.00,,
VAOZ,2023-04-22 14:30,FEW,,,3000.00,,
VAOZ,2023-04-22 15:00,FEW,,,3000.00,,
VAOZ,2023-04-22 16:30,NSC,,,,,
VAOZ,2023-04-23 02:30,NSC,,,,,
VAOZ,2023-04-23 03:30,NSC,,,,,
VAOZ,2023-04-23 04:30,NSC,,,,,
VAOZ,2023-04-23 06:30,SCT,,,3000.00,,
VAOZ,2023-04-23 07:30,SCT,,,3000.00,,
VAOZ,2023-04-23 08:30,SCT,,,3000.00,,
VAOZ,2023-04-23 09:00,SCT,,,3000.00,,
VAOZ,2023-04-23 10:30,SCT,,,3000.00,,
VAOZ,2023-04-23 11:30,SCT,,,3000.00,,
VAOZ,2023-04-23 12:30,FEW,,,3000.00,,
VAOZ,2023-04-23 13:30,FEW,,,10000.00,,
VAOZ,2023-04-23 14:30,NSC,,,,,
VAOZ,2023-04-23 15:30,NSC,,,,,
VAOZ,2023-04-23 16:30,NSC,,,,,
VAOZ,2023-04-23 17:00,NSC,,,,,
VAOZ,2023-04-24 02:30,FEW,SCT,,4000.00,30000.00,
VAOZ,2023-04-24 03:30,FEW,,,4000.00,,
VAOZ,2023-04-24 04:30,FEW,SCT,,8000.00,25000.00,
VAOZ,2023-04-24 05:30,FEW,SCT,,8000.00,25000.00,
VAOZ,2023-04-24 06:30,FEW,SCT,,4000.00,9000.00,
VAOZ,2023-04-24 07:30,SCT,SCT,,4000.00,9000.00,
VAOZ,2023-04-24 08:30,FEW,SCT,,3000.00,4000.00,
VAOZ,2023-04-24 09:30,SCT,SCT,,3000.00,20000.00,
VAOZ,2023-04-24 10:30,SCT,SCT,,3000.00,20000.00,
VAOZ,2023-04-24 11:30,SCT,,,3000.00,,
VAOZ,2023-04-24 12:30,FEW,,,3000.00,,
VAOZ,2023-04-24 13:30,FEW,SCT,,3000.00,20000.00,
VAOZ,2023-04-24 14:30,NSC,,,,,
VAOZ,2023-04-24 15:30,NSC,,,,,
VAOZ,2023-04-24 16:30,NSC,,,,,
VAOZ,2023-04-24 17:00,NSC,,,,,
VAOZ,2023-04-25 02:30,FEW,,,10000.00,,
VAOZ,2023-04-25 03:00,FEW,,,25000.00,,
VAOZ,2023-04-25 04:30,FEW,,,3000.00,,
VAOZ,2023-04-25 05:30,NSC,,,,,
VAOZ,2023-04-25 06:00,NSC,,,,,
VAOZ,2023-04-25 07:30,NSC,,,,,
VAOZ,2023-04-25 08:00,FEW,,,4000.00,,
VAOZ,2023-04-25 09:30,FEW,SCT,,3000.00,30000.00,
VAOZ,2023-04-25 10:30,FEW,SCT,,3000.00,25000.00,
VAOZ,2023-04-25 11:30,FEW,SCT,,3000.00,25000.00,
VAOZ,2023-04-25 12:30,FEW,BKN,,3000.00,25000.00,
VAOZ,2023-04-25 13:30,FEW,FEW,BKN,3000.00,4000.00,25000.00
VAOZ,2023-04-25 14:00,FEW,FEW,SCT,3000.00,4000.00,25000.00
VAOZ,2023-04-25 16:00,NSC,,,,,
VAOZ,2023-04-25 17:00,NSC,,,,,
VAOZ,2023-04-26 02:30,BKN,,,3000.00,,
VAOZ,2023-04-26 03:30,SCT,,,3000.00,,
VAOZ,2023-04-26 04:30,BKN,,,3000.00,,
VAOZ,2023-04-26 05:30,SCT,SCT,,3000.00,25000.00,
VAOZ,2023-04-26 06:30,SCT,SCT,,3000.00,25000.00,
VAOZ,2023-04-26 07:30,SCT,SCT,,3000.00,25000.00,
VAOZ,2023-04-26 08:30,SCT,FEW,,3000.00,4000.00,
VAOZ,2023-04-26 09:30,SCT,FEW,,3000.00,4000.00,
VAOZ,2023-04-26 10:30,SCT,FEW,SCT,3000.00,4000.00,25000.00
VAOZ,2023-04-26 11:30,SCT,FEW,SCT,3000.00,4000.00,25000.00
VAOZ,2023-04-26 13:30,SCT,FEW,SCT,3000.00,4000.00,30000.00
VAOZ,2023-04-26 14:00,SCT,SCT,,3000.00,30000.00,
VAOZ,2023-04-26 15:30,FEW,SCT,,3000.00,30000.00,
VAOZ,2023-04-26 16:30,NSC,,,,,
VAOZ,2023-04-26 17:00,NSC,,,,,
VAOZ,2023-04-27 02:30,SCT,FEW,,2500.00,4000.00,
VAOZ,2023-04-27 03:30,SCT,,,3000.00,,
VAOZ,2023-04-27 04:30,SCT,,,3000.00,,
VAOZ,2023-04-27 05:30,SCT,SCT,,3000.00,25000.00,
VAOZ,2023-04-27 06:00,SCT,BKN,,3000.00,25000.00,
VAOZ,2023-04-27 07:30,FEW,BKN,,3000.00,30000.00,
VAOZ,2023-04-27 08:30,SCT,SCT,,3000.00,30000.00,
VAOZ,2023-04-27 09:30,SCT,SCT,,3000.00,30000.00,
