station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VCCJ,2022-12-18 03:10,SCT,BKN,,1800.00,10000.00,
VCCJ,2022-12-18 04:10,SCT,,,1800.00,,
VCCJ,2022-12-18 07:10,BKN,,,1800.00,,
VCCJ,2022-12-18 08:10,SCT,,,1800.00,,
VCCJ,2022-12-18 09:10,SCT,,,1800.00,,
VCCJ,2022-12-18 11:10,SCT,,,1800.00,,
VCCJ,2022-12-20 03:10,BKN,,,1600.00,,
VCCJ,2022-12-20 04:10,BKN,,,1600.00,,
VCCJ,2022-12-20 05:10,BKN,,,1500.00,,
VCCJ,2022-12-20 08:10,BKN,,,1600.00,,
VCCJ,2022-12-20 12:10,SCT,,,1800.00,,
VCCJ,2022-12-20 13:10,SCT,,,1800.00,,
VCCJ,2022-12-20 15:10,FEW,,,1800.00,,
VCCJ,2022-12-21 00:10,BKN,,,1800.00,,
VCCJ,2022-12-21 01:10,,,,,,
VCCJ,2022-12-21 07:10,SCT,BKN,,1400.00,1600.00,
VCCJ,2022-12-21 08:10,SCT,BKN,,1400.00,1600.00,
VCCJ,2022-12-21 10:10,SCT,BKN,,1800.00,8000.00,
VCCJ,2022-12-22 02:10,BKN,OVC,,1400.00,8000.00,
VCCJ,2022-12-22 07:10,FEW,,,1800.00,,
VCCJ,2022-12-22 12:10,FEW,,,1800.00,,
VCCJ,2022-12-22 15:10,,,,,,
VCCJ,2022-12-23 09:10,SCT,,,1800.00,,
VCCJ,2022-12-23 10:10,FEW,SCT,,1800.00,10000.00,
VCCJ,2022-12-23 11:10,FEW,,,1800.00,,
VCCJ,2022-12-23 12:10,FEW,SCT,,1800.00,10000.00,
VCCJ,2022-12-23 15:10,FEW,,,1800.00,,
VCCJ,2022-12-25 00:10,BKN,OVC,,1600.00,8000.00,
VCCJ,2022-12-25 01:10,BKN,OVC,,1600.00,8000.00,
VCCJ,2022-12-25 03:10,BKN,OVC,,1600.00,8000.00,
VCCJ,2022-12-25 07:10,BKN,,,1800.00,,
VCCJ,2022-12-25 08:10,BKN,,,1600.00,,
VCCJ,2022-12-25 11:10,BKN,BKN,,1800.00,10000.00,
VCCJ,2022-12-25 12:10,SCT,OVC,,1800.00,8000.00,
VCCJ,2022-12-26 03:10,BKN,BKN,,1800.00,10000.00,
VCCJ,2022-12-26 07:10,BKN,,,1600.00,,
VCCJ,2022-12-26 08:10,BKN,,,1600.00,,
VCCJ,2022-12-26 09:10,BKN,,,1800.00,,
VCCJ,2022-12-26 10:10,FEW,BKN,,1500.00,1800.00,
VCCJ,2022-12-26 11:10,SCT,,,1800.00,,
VCCJ,2022-12-27 00:10,BKN,,,1800.00,,
VCCJ,2022-12-27 01:10,BKN,,,1800.00,,
VCCJ,2022-12-27 02:10,SCT,,,1800.00,,
VCCJ,2022-12-27 05:10,SCT,,,1800.00,,
VCCJ,2022-12-27 06:10,BKN,,,1600.00,,
VCCJ,2022-12-27 10:10,FEW,,,1800.00,,
VCCJ,2022-12-28 00:10,SCT,,,1800.00,,
VCCJ,2022-12-28 01:10,SCT,,,1800.00,,
VCCJ,2022-12-28 02:10,FEW,,,1800.00,,
VCCJ,2022-12-28 03:10,SCT,,,1800.00,,
VCCJ,2022-12-28 04:10,SCT,,,1800.00,,
VCCJ,2022-12-28 05:10,BKN,,,1800.00,,
VCCJ,2022-12-28 07:10,BKN,,,1800.00,,
VCCJ,2022-12-28 08:10,BKN,,,1800.00,,
VCCJ,2022-12-28 10:10,SCT,,,1800.00,,
VCCJ,2022-12-28 11:10,SCT,,,1800.00,,
VCCJ,2022-12-28 12:10,SCT,,,1800.00,,
VCCJ,2022-12-29 00:10,,,,,,
VCCJ,2022-12-29 01:10,FEW,,,1800.00,,
VCCJ,2022-12-29 02:10,FEW,,,1800.00,,
VCCJ,2022-12-29 03:10,SCT,,,1800.00,,
VCCJ,2022-12-29 04:10,SCT,,,1800.00,,
VCCJ,2022-12-29 05:10,BKN,,,1800.00,,
VCCJ,2022-12-29 06:10,BKN,,,1800.00,,
VCCJ,2022-12-29 07:10,SCT,,,1800.00,,
VCCJ,2022-12-29 08:10,SCT,,,1800.00,,
VCCJ,2022-12-29 09:10,SCT,,,1800.00,,
VCCJ,2022-12-29 10:10,BKN,,,1800.00,,
VCCJ,2022-12-29 12:10,SCT,,,1800.00,,
VCCJ,2022-12-29 13:10,FEW,,,1800.00,,
VCCJ,2022-12-30 00:10,SCT,,,1600.00,,
VCCJ,2022-12-30 01:10,FEW,SCT,,1800.00,10000.00,
VCCJ,2022-12-30 02:10,FEW,,,1800.00,,
VCCJ,2022-12-30 03:10,FEW,,,1800.00,,
VCCJ,2022-12-30 04:10,SCT,,,1800.00,,
VCCJ,2022-12-30 05:10,SCT,,,1800.00,,
VCCJ,2022-12-30 06:10,SCT,,,1800.00,,
VCCJ,2022-12-30 07:10,SCT,,,1800.00,,
VCCJ,2022-12-30 08:10,SCT,,,1800.00,,
VCCJ,2022-12-30 09:10,BKN,,,1800.00,,
VCCJ,2022-12-30 10:10,SCT,BKN,,1800.00,10000.00,
VCCJ,2022-12-30 11:10,FEW,,,1800.00,,
VCCJ,2022-12-30 12:10,FEW,SCT,,1800.00,10000.00,
VCCJ,2022-12-30 13:10,FEW,SCT,,1800.00,10000.00,
VCCJ,2022-12-31 01:10,FEW,,,10000.00,,
VCCJ,2022-12-31 09:10,SCT,,,1800.00,,
VCCJ,2023-01-01 09:10,SCT,,,1800.00,,
VCCJ,2023-01-02 07:10,SCT,,,1800.00,,
VCCJ,2023-01-02 08:10,SCT,,,1800.00,,
VCCJ,2023-01-02 10:10,BKN,,,1800.00,,
VCCJ,2023-01-02 11:10,SCT,,,1800.00,,
VCCJ,2023-01-02 12:10,FEW,,,1800.00,,
VCCJ,2023-01-03 00:10,BKN,,,1800.00,,
VCCJ,2023-01-03 01:10,OVC,SCT,,1600.00,1800.00,
VCCJ,2023-01-03 04:10,BKN,,,1600.00,,
VCCJ,2023-01-03 05:10,SCT,,,1800.00,,
VCCJ,2023-01-03 09:10,SCT,,,1800.00,,
VCCJ,2023-01-03 10:10,SCT,,,1800.00,,
VCCJ,2023-01-03 13:10,,,,,,
