station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VEAB,2022-11-23 02:00,CLR,,,,,
VEAB,2022-11-23 06:30,CLR,,,,,
VEAB,2022-11-23 07:00,CLR,,,,,
VEAB,2022-11-27 01:30,CLR,,,,,
VEAB,2022-11-27 02:30,CLR,,,,,
VEAB,2022-11-27 03:30,CLR,,,,,
VEAB,2022-11-27 04:00,CLR,,,,,
VEAB,2022-11-27 05:00,CLR,,,,,
VEAB,2022-11-27 06:30,CLR,,,,,
VEAB,2022-12-01 05:15,CLR,,,,,
VEAB,2022-12-02 11:00,CLR,,,,,
VEAB,2022-12-16 08:30,FEW,,,25000.00,,
VEAB,2022-12-18 00:30,CLR,,,,,
VEAB,2022-12-18 01:30,CLR,,,,,
VEAB,2022-12-18 02:30,CLR,,,,,
VEAB,2022-12-18 03:00,CLR,,,,,
VEAB,2022-12-18 04:00,CLR,,,,,
VEAB,2022-12-18 06:30,CLR,,,,,
VEAB,2022-12-18 07:30,CLR,,,,,
VEAB,2022-12-18 08:00,CLR,,,,,
VEAB,2022-12-18 11:30,CLR,,,,,
VEAB,2022-12-18 13:00,CLR,,,,,
VEAB,2022-12-19 03:30,CLR,,,,,
VEAB,2022-12-19 04:30,CLR,,,,,
VEAB,2022-12-19 05:30,CLR,,,,,
VEAB,2022-12-19 06:00,CLR,,,,,
VEAB,2022-12-19 14:30,CLR,,,,,
VEAB,2022-12-19 15:30,CLR,,,,,
VEAB,2022-12-20 13:01,CLR,,,,,
VEAB,2022-12-20 16:30,CLR,,,,,
VEAB,2022-12-20 23:30,CLR,,,,,
VEAB,2022-12-21 00:30,CLR,,,,,
VEAB,2022-12-21 01:00,CLR,,,,,
VEAB,2022-12-21 08:30,CLR,,,,,
VEAB,2022-12-22 00:00,CLR,,,,,
VEAB,2022-12-23 09:30,CLR,,,,,
VEAB,2022-12-24 01:30,SCT,,,25000.00,,
VEAB,2022-12-24 02:30,FEW,SCT,,3000.00,10000.00,
VEAB,2022-12-24 03:30,SCT,,,10000.00,,
VEAB,2022-12-24 06:30,FEW,SCT,,3000.00,10000.00,
VEAB,2022-12-25 01:30,CLR,,,,,
VEAB,2022-12-25 04:01,FEW,,,10000.00,,
VEAB,2022-12-26 15:30,CLR,,,,,
VEAB,2022-12-28 12:00,CLR,,,,,
VEAB,2023-01-02 18:00,CLR,,,,,
VEAB,2023-01-08 04:30,SCT,,,25000.00,,
VEAB,2023-01-08 05:30,CLR,,,,,
VEAB,2023-01-08 06:30,CLR,,,,,
