station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VEAY,2024-01-11 04:30,NSC,,,,,
VEAY,2024-01-11 05:30,VV ,,,,,
VEAY,2024-01-11 06:30,VV ,,,,,
VEAY,2024-01-11 07:30,VV ,,,,,
VEAY,2024-01-11 08:30,FEW,,,2000.00,,
VEAY,2024-01-11 09:30,NSC,,,,,
VEAY,2024-01-11 10:30,NSC,,,,,
VEAY,2024-01-12 04:30,VV ,,,,,
VEAY,2024-01-12 05:30,VV ,,,,,
VEAY,2024-01-12 06:30,VV ,,,,,
VEAY,2024-01-12 07:30,FEW,SCT,,3000.00,10000.00,
VEAY,2024-01-12 08:30,FEW,SCT,,3000.00,10000.00,
VEAY,2024-01-12 09:30,FEW,SCT,,3000.00,10000.00,
VEAY,2024-01-12 10:30,NSC,,,,,
VEAY,2024-01-13 04:30,NSC,,,,,
VEAY,2024-01-13 05:30,NSC,,,,,
VEAY,2024-01-13 06:30,VV ,,,,,
VEAY,2024-01-13 07:30,VV ,,,,,
VEAY,2024-01-13 08:30,VV ,,,,,
VEAY,2024-01-13 09:30,VV ,,,,,
VEAY,2024-01-13 10:30,FEW,SCT,,2000.00,10000.00,
VEAY,2024-01-14 04:30,VV ,,,,,
VEAY,2024-01-14 05:30,VV ,,,,,
VEAY,2024-01-14 06:30,VV ,,,,,
VEAY,2024-01-14 07:30,VV ,,,,,
VEAY,2024-01-14 08:30,VV ,,,,,
VEAY,2024-01-14 09:30,VV ,,,,,
VEAY,2024-01-14 10:30,VV ,,,,,
VEAY,2024-01-14 11:00,VV ,,,,,
VEAY,2024-01-15 04:30,VV ,,,,,
VEAY,2024-01-15 05:30,VV ,,,,,
VEAY,2024-01-15 06:30,FEW,,,3000.00,,
VEAY,2024-01-15 07:00,FEW,,,3000.00,,
VEAY,2024-01-15 12:00,NSC,,,,,
VEAY,2024-01-16 04:30,VV ,,,,,
VEAY,2024-01-16 05:00,VV ,,,,,
VEAY,2024-01-16 06:30,VV ,,,,,
VEAY,2024-01-16 07:30,VV ,,,,,
VEAY,2024-01-16 08:30,VV ,,,,,
VEAY,2024-01-16 09:30,VV ,,,,,
VEAY,2024-01-16 10:30,VV ,,,,,
VEAY,2024-01-16 11:00,VV ,,,,,
VEAY,2024-01-17 04:30,VV ,,,,,
VEAY,2024-01-17 05:30,VV ,,,,,
VEAY,2024-01-17 06:30,VV ,,,,,
VEAY,2024-01-17 07:30,FEW,SCT,,2500.00,10000.00,
VEAY,2024-01-17 08:34,SCT,,,2500.00,,
VEAY,2024-01-17 09:30,SCT,,,3000.00,,
VEAY,2024-01-17 10:30,SCT,,,3000.00,,
VEAY,2024-01-17 11:30,SCT,FEW,,3000.00,3500.00,
VEAY,2024-01-17 12:00,SCT,FEW,,3000.00,3500.00,
VEAY,2024-01-18 04:30,SCT,SCT,,3000.00,10000.00,
VEAY,2024-01-18 05:30,SCT,BKN,,3000.00,10000.00,
VEAY,2024-01-18 06:30,SCT,BKN,,3000.00,10000.00,
VEAY,2024-01-18 07:30,SCT,SCT,,2500.00,10000.00,
VEAY,2024-01-18 08:30,FEW,SCT,,2500.00,10000.00,
VEAY,2024-01-18 09:30,FEW,SCT,,2500.00,10000.00,
VEAY,2024-01-18 10:30,SCT,,,10000.00,,
VEAY,2024-01-18 11:30,NSC,,,,,
VEAY,2024-01-18 12:30,NSC,,,,,
VEAY,2024-01-18 13:00,NSC,,,,,
VEAY,2024-01-19 04:30,VV ,,,,,
VEAY,2024-01-19 05:30,VV ,,,,,
VEAY,2024-01-19 06:30,VV ,,,,,
VEAY,2024-01-19 07:30,VV ,,,,,
VEAY,2024-01-19 08:30,VV ,,,,,
VEAY,2024-01-19 09:30,VV ,,,,,
VEAY,2024-01-19 10:30,VV ,,,,,
VEAY,2024-01-19 11:30,VV ,,,,,
VEAY,2024-01-19 12:00,VV ,,,,,
VEAY,2024-01-19 13:30,VV ,,,,,
VEAY,2024-01-19 14:30,VV ,,,,,
VEAY,2024-01-19 15:30,VV ,,,,,
VEAY,2024-01-19 16:30,VV ,,,,,
VEAY,2024-01-20 01:30,VV ,,,,,
VEAY,2024-01-20 02:30,VV ,,,,,
VEAY,2024-01-20 03:30,VV ,,,,,
VEAY,2024-01-20 04:30,VV ,,,,,
VEAY,2024-01-20 05:30,VV ,,,,,
VEAY,2024-01-20 06:30,VV ,,,,,
VEAY,2024-01-20 07:30,VV ,,,,,
VEAY,2024-01-20 08:30,VV ,,,,,
VEAY,2024-01-20 09:30,VV ,,,,,
VEAY,2024-01-20 10:30,VV ,,,,,
VEAY,2024-01-20 11:30,VV ,,,,,
VEAY,2024-01-20 12:30,VV ,,,,,
VEAY,2024-01-20 13:30,VV ,,,,,
VEAY,2024-01-20 14:30,VV ,,,,,
VEAY,2024-01-20 15:00,VV ,,,,,
VEAY,2024-01-21 01:30,VV ,,,,,
VEAY,2024-01-21 02:30,VV ,,,,,
VEAY,2024-01-21 03:30,VV ,,,,,
VEAY,2024-01-21 04:30,VV ,,,,,
