station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VEJT,2017-01-05 08:30,SCT,,,3000.00,,
VEJT,2018-01-23 03:30,CLR,,,,,
VEJT,2018-01-23 04:30,CLR,,,,,
VEJT,2018-03-28 03:30,CLR,,,,,
VEJT,2018-04-05 02:30,FEW,BKN,,3000.00,25000.00,
VEJT,2018-04-13 05:30,SCT,SCT,,2000.00,9000.00,
VEJT,2018-05-30 03:30,SCT,BKN,,3000.00,9000.00,
VEJT,2018-08-19 06:30,SCT,SCT,,2000.00,9000.00,
VEJT,2018-08-19 07:30,SCT,,,2500.00,,
VEJT,2021-04-18 11:30,SCT,BKN,,2500.00,9000.00,
VEJT,2021-04-18 12:30,SCT,BKN,,2500.00,9000.00,
VEJT,2021-04-18 13:30,SCT,FEW,BKN,2500.00,3000.00,9000.00
VEJT,2021-04-18 14:30,SCT,FEW,BKN,2500.00,3000.00,8000.00
VEJT,2021-04-18 15:30,SCT,FEW,BKN,2500.00,300.00,8000.00
VEJT,2021-04-18 16:30,SCT,FEW,BKN,2500.00,3000.00,9000.00
VEJT,2021-04-18 17:30,SCT,FEW,BKN,2500.00,3500.00,9000.00
VEJT,2021-04-18 18:30,SCT,FEW,BKN,2000.00,3000.00,9000.00
VEJT,2021-04-19 02:30,SCT,BKN,,2500.00,9000.00,
VEJT,2021-04-19 03:30,FEW,BKN,,2500.00,9000.00,
VEJT,2021-04-20 06:30,FEW,,,2000.00,,
VEJT,2021-10-31 10:30,FEW,,,2500.00,,
VEJT,2021-10-31 13:30,FEW,SCT,,2500.00,9000.00,
VEJT,2021-10-31 14:30,FEW,SCT,,2500.00,9000.00,
VEJT,2021-11-17 18:30,FEW,SCT,,10000.00,25000.00,
VEJT,2022-08-17 08:30,SCT,,,2500.00,,
VEJT,2022-09-16 05:00,FEW,SCT,,1500.00,2500.00,
VEJT,2022-09-16 21:30,SCT,SCT,FEW,1000.00,1500.00,3000.00
VEJT,2022-09-17 00:30,SCT,SCT,BKN,800.00,1500.00,9000.00
VEJT,2022-09-17 04:30,FEW,SCT,BKN,1000.00,1500.00,9000.00
VEJT,2022-09-18 13:00,FEW,SCT,BKN,2500.00,9000.00,25000.00
VEJT,2022-09-20 10:30,SCT,FEW,SCT,2500.00,3000.00,9000.00
VEJT,2022-09-20 19:30,FEW,SCT,FEW,1500.00,2500.00,3000.00
VEJT,2022-09-21 13:45,SCT,FEW,BKN,2500.00,3000.00,9000.00
VEJT,2022-09-24 06:55,SCT,FEW,BKN,2000.00,3000.00,9000.00
VEJT,2022-09-25 03:30,SCT,BKN,,1200.00,9000.00,
VEJT,2022-09-28 08:30,SCT,FEW,SCT,2500.00,3000.00,25000.00
VEJT,2022-09-28 19:30,SCT,,,25000.00,,
VEJT,2022-09-28 21:00,SCT,SCT,,2500.00,9000.00,
VEJT,2022-09-29 21:30,FEW,SCT,,2500.00,25000.00,
VEJT,2022-09-30 00:30,FEW,SCT,,1200.00,10000.00,
VEJT,2022-09-30 01:30,FEW,SCT,,2000.00,10000.00,
VEJT,2022-10-01 14:30,FEW,SCT,,2500.00,20000.00,
VEJT,2022-10-01 15:30,FEW,,,20000.00,,
VEJT,2022-10-01 22:30,FEW,SCT,,2500.00,10000.00,
VEJT,2022-10-01 23:30,FEW,BKN,,2500.00,12000.00,
VEJT,2022-10-02 00:00,BKN,BKN,,12000.00,25000.00,
VEJT,2022-10-03 02:30,FEW,SCT,BKN,1500.00,2000.00,10000.00
VEJT,2022-10-04 08:30,FEW,SCT,,1500.00,2500.00,
VEJT,2022-10-04 09:00,SCT,SCT,,1500.00,2500.00,
VEJT,2022-10-07 03:00,SCT,SCT,BKN,1000.00,1500.00,10000.00
VEJT,2022-10-08 08:30,BKN,SCT,FEW,800.00,1200.00,3000.00
VEJT,2022-10-12 07:30,FEW,SCT,BKN,1800.00,2500.00,10000.00
VEJT,2022-10-12 08:00,FEW,SCT,BKN,1800.00,2500.00,10000.00
VEJT,2022-10-12 10:00,FEW,SCT,FEW,1500.00,2000.00,3000.00
VEJT,2022-10-12 11:30,SCT,SCT,FEW,600.00,1000.00,3000.00
VEJT,2022-10-12 12:30,SCT,SCT,FEW,1000.00,1500.00,3000.00
VEJT,2022-10-12 13:00,SCT,SCT,FEW,800.00,1500.00,3000.00
VEJT,2022-10-14 00:40,SCT,SCT,BKN,800.00,1500.00,10000.00
VEJT,2022-10-14 10:30,SCT,SCT,,1500.00,9000.00,
VEJT,2022-10-14 11:30,FEW,SCT,,2500.00,9000.00,
VEJT,2022-10-14 12:30,FEW,SCT,,2500.00,9000.00,
VEJT,2022-10-14 13:00,FEW,SCT,,2500.00,9000.00,
VEJT,2022-10-15 15:30,FEW,,,3000.00,,
VEJT,2022-10-15 16:30,FEW,,,3000.00,,
VEJT,2022-10-15 17:30,FEW,,,3000.00,,
VEJT,2022-10-17 14:30,FEW,,,2500.00,,
VEJT,2022-10-17 15:00,FEW,,,2500.00,,
VEJT,2022-10-17 23:30,FEW,BKN,FEW,1200.00,2000.00,2500.00
VEJT,2022-10-18 00:30,FEW,BKN,,1500.00,9000.00,
VEJT,2022-10-18 01:30,FEW,SCT,,2500.00,10000.00,
VEJT,2022-10-18 07:00,FEW,BKN,,2500.00,10000.00,
VEJT,2022-10-19 01:45,SCT,SCT,,800.00,2000.00,
VEJT,2022-10-22 01:45,FEW,BKN,,1000.00,9000.00,
VEJT,2022-10-23 00:15,SCT,BKN,,1500.00,9000.00,
VEJT,2022-10-23 04:30,FEW,BKN,,2500.00,10000.00,
VEJT,2022-10-24 02:30,FEW,SCT,OVC,1500.00,2500.00,8000.00
VEJT,2022-10-24 04:00,FEW,SCT,OVC,1500.00,2500.00,8000.00
VEJT,2022-10-25 12:00,SCT,SCT,BKN,1000.00,1500.00,9000.00
VEJT,2022-10-29 01:30,SCT,SCT,,500.00,1000.00,
VEJT,2022-10-29 06:30,FEW,SCT,,1500.00,2500.00,
VEJT,2022-10-29 07:00,FEW,SCT,,1500.00,2500.00,
VEJT,2022-11-04 19:30,FEW,,,25000.00,,
VEJT,2022-11-07 11:40,FEW,,,10000.00,,
VEJT,2022-11-09 01:15,,,,,,
VEJT,2022-11-10 01:30,FEW,,,1000.00,,
VEJT,2022-11-12 01:50,SCT,BKN,,2500.00,8000.00,
VEJT,2022-11-14 02:40,SCT,SCT,,1000.00,1200.00,
VEJT,2022-11-14 03:15,SCT,,,800.00,,
VEJT,2022-11-14 04:45,FEW,,,2000.00,,
VEJT,2022-11-15 07:30,FEW,,,2500.00,,
VEJT,2022-11-15 08:30,FEW,,,2500.00,,
VEJT,2022-11-15 09:00,FEW,,,2500.00,,
VEJT,2022-11-15 12:30,FEW,,,2500.00,,
VEJT,2022-11-15 13:30,CLR,,,,,
VEJT,2022-11-15 14:00,CLR,,,,,
VEJT,2022-11-16 00:30,,,,,,
VEJT,2022-11-16 01:30,SCT,,,800.00,,
VEJT,2022-11-16 02:30,SCT,SCT,,800.00,1000.00,
VEJT,2022-11-16 03:30,SCT,,,1200.00,,
VEJT,2022-11-16 04:30,FEW,,,1500.00,,
VEJT,2022-11-16 05:30,FEW,,,2500.00,,
VEJT,2022-11-16 06:00,FEW,,,2500.00,,
VEJT,2022-11-16 13:30,FEW,,,10000.00,,
VEJT,2022-11-16 14:30,CLR,,,,,
VEJT,2022-11-16 15:30,CLR,,,,,
VEJT,2022-11-16 22:30,CLR,,,,,
VEJT,2022-11-16 23:30,FEW,SCT,,2000.00,10000.00,
VEJT,2022-11-17 00:30,FEW,BKN,,2000.00,8000.00,
VEJT,2022-11-18 13:30,CLR,,,,,
VEJT,2022-11-18 14:30,CLR,,,,,
VEJT,2022-11-18 15:30,CLR,,,,,
VEJT,2022-11-18 16:30,CLR,,,,,
VEJT,2022-11-18 17:30,CLR,,,,,
VEJT,2022-11-18 18:00,CLR,,,,,
VEJT,2022-11-23 02:00,FEW,,,10000.00,,
VEJT,2022-11-23 06:30,FEW,,,3000.00,,
VEJT,2022-11-23 07:00,FEW,,,3000.00,,
VEJT,2022-11-25 02:15,FEW,,,1500.00,,
VEJT,2022-11-27 01:30,CLR,,,,,
VEJT,2022-11-27 02:00,FEW,,,2500.00,,
VEJT,2022-11-27 03:30,CLR,,,,,
VEJT,2022-11-27 04:00,CLR,,,,,
VEJT,2022-12-03 11:03,FEW,,,10000.00,,
VEJT,2022-12-04 01:15,FEW,,,10000.00,,
VEJT,2022-12-07 13:30,FEW,,,10000.00,,
VEJT,2022-12-09 01:40,CLR,,,,,
VEJT,2022-12-16 08:30,FEW,,,2500.00,,
VEJT,2022-12-18 00:30,CLR,,,,,
VEJT,2022-12-18 07:30,CLR,,,,,
VEJT,2022-12-18 08:30,FEW,,,2500.00,,
VEJT,2022-12-18 11:30,FEW,,,2500.00,,
VEJT,2022-12-18 13:00,FEW,,,2500.00,,
VEJT,2022-12-19 03:30,FEW,,,1000.00,,
VEJT,2022-12-19 04:30,CLR,,,,,
VEJT,2022-12-19 05:30,CLR,,,,,
VEJT,2022-12-19 06:00,CLR,,,,,
VEJT,2022-12-19 14:30,FEW,SCT,,2500.00,10000.00,
VEJT,2022-12-20 16:30,FEW,,,10000.00,,
VEJT,2022-12-20 22:30,FEW,,,10000.00,,
VEJT,2022-12-20 23:30,FEW,,,10000.00,,
VEJT,2022-12-21 00:30,SCT,,,10000.00,,
VEJT,2022-12-21 01:00,SCT,,,10000.00,,
VEJT,2022-12-21 08:30,FEW,,,10000.00,,
VEJT,2022-12-24 01:30,CLR,,,,,
VEJT,2022-12-24 02:30,CLR,,,,,
VEJT,2022-12-24 03:30,CLR,,,,,
VEJT,2022-12-24 06:30,CLR,,,,,
VEJT,2022-12-27 04:00,SCT,SCT,BKN,700.00,1000.00,9000.00
VEJT,2022-12-30 02:30,,,,,,
VEJT,2022-12-30 03:00,,,,,,
VEJT,2023-01-02 18:00,FEW,,,10000.00,,
VEJT,2023-01-03 01:15,CLR,,,,,
VEJT,2023-01-08 01:00,CLR,,,,,
VEJT,2023-01-08 04:30,CLR,,,,,
VEJT,2023-01-08 05:30,CLR,,,,,
VEJT,2023-01-08 06:30,CLR,,,,,
VEJT,2023-01-08 15:30,CLR,,,,,
VEJT,2023-01-08 17:30,CLR,,,,,
VEJT,2023-01-08 18:00,CLR,,,,,
VEJT,2023-01-14 16:30,SCT,BKN,,2000.00,9000.00,
VEJT,2023-01-16 03:30,SCT,SCT,,2000.00,9000.00,
VEJT,2023-01-16 06:00,FEW,BKN,,2500.00,10000.00,
VEJT,2023-01-16 14:30,FEW,SCT,,2500.00,10000.00,
VEJT,2023-01-16 15:00,FEW,SCT,,2500.00,10000.00,
VEJT,2023-01-16 18:00,FEW,SCT,,2500.00,10000.00,
VEJT,2023-01-17 15:00,FEW,,,10000.00,,
VEJT,2023-01-18 07:30,FEW,SCT,,2500.00,9000.00,
VEJT,2023-01-19 02:45,CLR,,,,,
VEJT,2023-01-19 03:00,CLR,,,,,
VEJT,2023-01-22 00:30,FEW,,,10000.00,,
VEJT,2023-01-22 01:30,FEW,,,10000.00,,
VEJT,2023-01-22 02:30,FEW,,,10000.00,,
VEJT,2023-01-22 03:30,CLR,,,,,
VEJT,2023-01-22 04:30,CLR,,,,,
VEJT,2023-01-22 05:00,CLR,,,,,
VEJT,2023-01-23 03:30,CLR,,,,,
VEJT,2023-01-23 14:00,CLR,,,,,
VEJT,2023-01-23 15:30,CLR,,,,,
VEJT,2023-01-24 00:30,CLR,,,,,
VEJT,2023-01-26 02:30,CLR,,,,,
VEJT,2023-01-26 03:30,CLR,,,,,
VEJT,2023-01-26 04:30,CLR,,,,,
VEJT,2023-01-26 06:30,CLR,,,,,
VEJT,2023-01-29 12:30,CLR,,,,,
VEJT,2023-01-29 13:00,CLR,,,,,
VEJT,2023-01-30 15:30,CLR,,,,,
VEJT,2023-01-31 03:00,FEW,,,25000.00,,
VEJT,2023-02-02 17:30,CLR,,,,,
VEJT,2023-02-03 15:30,CLR,,,,,
VEJT,2023-02-06 02:30,CLR,,,,,
VEJT,2023-02-23 01:30,BKN,SCT,FEW,500.00,1000.00,3000.00
VEJT,2023-02-23 02:30,BKN,SCT,FEW,500.00,800.00,3000.00
VEJT,2023-02-23 03:00,BKN,SCT,FEW,500.00,800.00,3000.00
VEJT,2023-02-23 09:40,SCT,SCT,FEW,1000.00,1500.00,3000.00
VEJT,2023-02-24 04:00,SCT,SCT,BKN,800.00,1500.00,6000.00
VEJT,2023-03-01 04:00,FEW,BKN,,2500.00,10000.00,
VEJT,2023-03-10 02:30,FEW,BKN,,2500.00,30000.00,
VEJT,2023-03-10 03:30,SCT,BKN,,10000.00,25000.00,
VEJT,2023-03-10 06:30,SCT,BKN,,10000.00,25000.00,
VEJT,2023-03-13 02:30,FEW,,,25000.00,,
VEJT,2023-03-13 15:30,SCT,SCT,,12000.00,25000.00,
VEJT,2023-03-13 16:30,SCT,SCT,,12000.00,25000.00,
VEJT,2023-03-14 00:30,SCT,BKN,,2500.00,10000.00,
VEJT,2023-03-14 01:00,SCT,BKN,,2500.00,10000.00,
VEJT,2023-03-16 20:30,SCT,BKN,,2500.00,9000.00,
VEJT,2023-03-17 06:30,FEW,SCT,,2500.00,10000.00,
VEJT,2023-03-17 07:00,FEW,SCT,,2500.00,10000.00,
VEJT,2023-03-20 11:00,FEW,SCT,BKN,1500.00,2500.00,9000.00
VEJT,2023-03-22 01:00,SCT,SCT,BKN,500.00,1000.00,8000.00
VEJT,2023-03-22 13:15,SCT,FEW,BKN,1500.00,3000.00,8000.00
VEJT,2023-03-27 16:30,SCT,FEW,SCT,2000.00,3000.00,10000.00
VEJT,2023-03-27 17:30,SCT,FEW,SCT,2000.00,3000.00,10000.00
VEJT,2023-03-27 18:00,SCT,FEW,BKN,1500.00,3000.00,8000.00
VEJT,2023-03-30 08:00,SCT,SCT,,3000.00,10000.00,
VEJT,2023-03-31 00:30,SCT,BKN,,2500.00,10000.00,
VEJT,2023-04-01 07:00,SCT,SCT,FEW,1200.00,2000.00,3000.00
VEJT,2023-04-01 10:00,SCT,BKN,FEW,800.00,1000.00,3000.00
VEJT,2023-04-02 05:15,SCT,SCT,,1500.00,2000.00,
VEJT,2023-04-02 07:15,FEW,SCT,FEW,1000.00,2000.00,3000.00
VEJT,2023-04-05 12:30,FEW,SCT,,2500.00,9000.00,
VEJT,2023-04-12 03:30,FEW,,,10000.00,,
VEJT,2023-04-12 06:30,CLR,,,,,
VEJT,2023-04-13 12:00,FEW,SCT,,10000.00,25000.00,
VEJT,2023-04-13 13:30,FEW,,,25000.00,,
VEJT,2023-04-14 15:30,CLR,,,,,
VEJT,2023-04-16 16:30,FEW,SCT,BKN,1500.00,2500.00,9000.00
VEJT,2023-04-18 13:30,FEW,SCT,,10000.00,25000.00,
VEJT,2023-04-18 17:30,FEW,SCT,,10000.00,25000.00,
VEJT,2023-04-20 13:00,SCT,FEW,BKN,2000.00,3000.00,9000.00
VEJT,2023-04-21 15:30,SCT,FEW,BKN,2500.00,3000.00,10000.00
VEJT,2023-04-21 16:00,SCT,FEW,BKN,2500.00,3000.00,9000.00
VEJT,2023-04-27 09:00,FEW,SCT,,2500.00,10000.00,
VEJT,2023-04-27 11:00,FEW,SCT,,2500.00,10000.00,
VEJT,2023-04-27 13:30,FEW,SCT,BKN,2500.00,10000.00,25000.00
VEJT,2023-04-28 02:30,SCT,SCT,,2000.00,2500.00,
VEJT,2023-04-29 14:30,SCT,SCT,BKN,2500.00,10000.00,25000.00
VEJT,2023-04-30 06:00,FEW,SCT,BKN,2500.00,9000.00,25000.00
VEJT,2023-04-30 15:00,FEW,SCT,,10000.00,25000.00,
VEJT,2023-05-01 04:30,FEW,BKN,,2500.00,9000.00,
VEJT,2023-05-02 13:50,SCT,FEW,BKN,2500.00,3000.00,8000.00
VEJT,2023-05-05 07:30,FEW,SCT,FEW,2000.00,2500.00,3000.00
VEJT,2023-05-05 12:30,SCT,FEW,BKN,2000.00,3000.00,10000.00
VEJT,2023-05-05 13:00,SCT,FEW,SCT,2000.00,3000.00,10000.00
VEJT,2023-05-06 01:30,SCT,SCT,BKN,1000.00,2500.00,9000.00
VEJT,2023-05-06 02:30,SCT,SCT,,2000.00,25000.00,
VEJT,2023-05-06 03:00,SCT,BKN,,2000.00,9000.00,
VEJT,2023-05-06 06:30,FEW,SCT,FEW,2000.00,2500.00,3000.00
VEJT,2023-05-07 03:30,FEW,,,10000.00,,
VEJT,2023-05-07 05:30,FEW,,,2500.00,,
VEJT,2023-05-07 06:00,FEW,SCT,,2500.00,10000.00,
VEJT,2023-05-08 02:00,FEW,SCT,FEW,1500.00,2500.00,3000.00
VEJT,2023-05-08 03:00,FEW,FEW,SCT,2000.00,3000.00,9000.00
VEJT,2023-05-08 06:30,FEW,SCT,,2500.00,9000.00,
VEJT,2023-05-08 07:00,FEW,SCT,,2500.00,25000.00,
VEJT,2023-05-08 14:00,FEW,SCT,,2500.00,9000.00,
VEJT,2023-05-08 15:00,FEW,SCT,,2500.00,10000.00,
VEJT,2023-05-08 22:30,FEW,BKN,,2500.00,9000.00,
