station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VELR,2016-02-14 02:00,FEW,SCT,BKN,1000.00,1600.00,10000.00
VELR,2016-02-14 03:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-02-16 09:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-02-17 02:00,SCT,FEW,OVC,1600.00,2500.00,8000.00
VELR,2016-02-17 03:00,SCT,FEW,OVC,1600.00,2500.00,8000.00
VELR,2016-02-17 04:00,SCT,FEW,OVC,1600.00,2500.00,8000.00
VELR,2016-02-17 06:00,SCT,BKN,,1800.00,10000.00,
VELR,2016-02-17 07:00,SCT,BKN,,2000.00,10000.00,
VELR,2016-02-18 05:00,SCT,BKN,,1800.00,10000.00,
VELR,2016-02-28 07:00,FEW,SCT,,10000.00,25000.00,
VELR,2016-03-05 08:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-03-05 09:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-03-07 05:00,FEW,SCT,BKN,1200.00,1800.00,9000.00
VELR,2016-03-07 06:00,SCT,BKN,,1800.00,9000.00,
VELR,2016-03-08 04:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-03-08 06:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-03-08 07:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-03-11 06:00,FEW,SCT,FEW,1000.00,1600.00,2500.00
VELR,2016-03-11 07:00,FEW,BKN,BKN,1000.00,1600.00,8000.00
VELR,2016-03-13 05:00,FEW,SCT,BKN,1000.00,1800.00,8000.00
VELR,2016-03-13 06:00,FEW,SCT,BKN,1000.00,1800.00,8000.00
VELR,2016-03-13 07:00,FEW,SCT,BKN,1000.00,1800.00,8000.00
VELR,2016-03-13 08:00,FEW,SCT,FEW,1000.00,1800.00,2500.00
VELR,2016-03-13 09:00,FEW,SCT,FEW,1000.00,1800.00,2500.00
VELR,2016-03-15 08:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-03-15 10:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-03-16 04:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-03-16 05:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-03-17 05:00,FEW,,,2000.00,,
VELR,2016-03-17 06:00,FEW,,,2000.00,,
VELR,2016-03-19 08:00,FEW,SCT,BKN,1200.00,1800.00,10000.00
VELR,2016-03-20 03:00,FEW,SCT,FEW,1000.00,1800.00,2500.00
VELR,2016-03-20 04:00,FEW,SCT,FEW,1000.00,1800.00,2500.00
VELR,2016-03-20 05:00,FEW,SCT,FEW,1000.00,1800.00,2500.00
VELR,2016-03-20 06:00,FEW,SCT,BKN,1000.00,1800.00,10000.00
VELR,2016-03-20 07:00,FEW,SCT,BKN,1000.00,1800.00,10000.00
VELR,2016-03-21 02:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-03-23 08:00,FEW,BKN,,2000.00,10000.00,
VELR,2016-03-23 09:00,FEW,BKN,,2000.00,10000.00,
VELR,2016-03-26 05:00,FEW,,,2000.00,,
VELR,2016-03-31 04:00,FEW,SCT,BKN,1000.00,1800.00,9000.00
VELR,2016-03-31 06:00,SCT,BKN,,1800.00,9000.00,
VELR,2016-04-03 03:00,FEW,FEW,,2000.00,10000.00,
VELR,2016-04-04 05:00,SCT,BKN,,2000.00,10000.00,
VELR,2016-04-04 06:00,SCT,BKN,,2000.00,10000.00,
VELR,2016-04-06 04:00,SCT,BKN,FEW,1000.00,1800.00,2500.00
VELR,2016-04-09 05:00,FEW,SCT,BKN,1000.00,1800.00,10000.00
VELR,2016-04-17 05:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-04-17 07:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-04-18 06:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-04-18 07:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-04-19 04:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-04-26 05:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-04-28 07:00,FEW,SCT,BKN,1000.00,1800.00,10000.00
VELR,2016-04-29 09:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-04-30 07:00,SCT,BKN,,1800.00,9000.00,
VELR,2016-05-02 06:00,SCT,BKN,,1800.00,10000.00,
VELR,2016-05-05 05:00,FEW,SCT,,1800.00,10000.00,
VELR,2016-05-06 06:00,SCT,BKN,FEW,1000.00,1800.00,2500.00
VELR,2016-05-08 02:00,FEW,SCT,,1800.00,10000.00,
VELR,2016-05-08 04:00,SCT,BKN,,1800.00,10000.00,
VELR,2016-05-10 03:00,FEW,,,2000.00,,
VELR,2016-05-16 02:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-05-16 05:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-05-16 09:00,SCT,SCT,FEW,800.00,1600.00,2500.00
VELR,2016-05-17 09:00,SCT,BKN,FEW,1000.00,1600.00,2500.00
VELR,2016-05-20 05:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-05-25 08:00,FEW,SCT,BKN,1000.00,1800.00,10000.00
VELR,2016-05-25 09:00,SCT,BKN,,1800.00,10000.00,
VELR,2016-05-30 05:00,SCT,BKN,,2000.00,10000.00,
VELR,2016-06-02 06:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-06-04 09:00,SCT,FEW,BKN,1800.00,2500.00,10000.00
VELR,2016-06-07 03:00,SCT,BKN,,1800.00,9000.00,
VELR,2016-06-07 05:00,SCT,BKN,,1800.00,9000.00,
VELR,2016-06-08 05:00,FEW,FEW,SCT,2000.00,2500.00,10000.00
VELR,2016-06-09 07:00,SCT,BKN,,1800.00,10000.00,
VELR,2016-06-10 08:00,SCT,FEW,BKN,1800.00,2500.00,10000.00
VELR,2016-06-17 02:00,FEW,SCT,FEW,1000.00,1800.00,2500.00
VELR,2016-06-17 03:00,FEW,SCT,FEW,1000.00,1800.00,2500.00
VELR,2016-06-17 05:00,FEW,SCT,OVC,1000.00,1800.00,9000.00
VELR,2016-06-28 05:00,FEW,SCT,BKN,1000.00,1800.00,9000.00
VELR,2016-07-12 05:00,FEW,SCT,BKN,1000.00,1800.00,9000.00
VELR,2016-07-12 06:00,FEW,SCT,,1800.00,10000.00,
VELR,2016-07-18 06:00,SCT,BKN,FEW,1000.00,1800.00,2500.00
VELR,2016-08-02 06:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-08-03 05:00,FEW,,,2500.00,,
VELR,2016-08-10 04:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-08-14 05:00,FEW,SCT,,1800.00,10000.00,
VELR,2016-08-14 06:00,FEW,SCT,,1800.00,10000.00,
VELR,2016-08-14 07:00,SCT,,,1800.00,,
VELR,2016-08-28 02:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-08-28 04:00,FEW,,,2000.00,,
VELR,2016-08-30 05:00,SCT,BKN,FEW,800.00,1600.00,2500.00
VELR,2016-09-07 05:00,FEW,SCT,FEW,1000.00,1800.00,2500.00
VELR,2016-10-03 05:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-10-14 03:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-10-14 04:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-10-21 06:00,SCT,,,2000.00,,
VELR,2016-10-21 07:00,FEW,,,2000.00,,
VELR,2016-10-29 04:00,FEW,,,2500.00,,
VELR,2016-11-02 04:00,FEW,,,2500.00,,
VELR,2016-11-10 05:00,FEW,,,2500.00,,
VELR,2016-11-13 08:00,FEW,,,2000.00,,
VELR,2016-11-14 04:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-11-16 02:00,FEW,,,2500.00,,
VELR,2016-11-18 04:00,FEW,,,2000.00,,
VELR,2016-11-20 04:00,NSC,,,,,
VELR,2016-11-25 05:00,FEW,,,2000.00,,
VELR,2016-11-25 08:00,FEW,,,2000.00,,
VELR,2016-11-26 05:00,NSC,,,,,
VELR,2016-11-26 06:00,FEW,,,2500.00,,
VELR,2016-11-27 02:00,NSC,,,,,
VELR,2016-11-28 05:00,SCT,BKN,,2000.00,10000.00,
VELR,2016-11-28 06:00,FEW,,,2000.00,,
VELR,2016-11-28 07:00,FEW,,,2000.00,,
VELR,2016-11-30 05:00,FEW,,,2500.00,,
VELR,2016-12-02 02:00,SCT,BKN,,2000.00,10000.00,
VELR,2016-12-02 04:00,FEW,SCT,,2000.00,10000.00,
VELR,2016-12-04 08:00,FEW,,,2000.00,,
VELR,2016-12-10 05:00,NSC,,,,,
VELR,2016-12-12 02:00,NSC,,,,,
VELR,2016-12-14 02:00,NSC,,,,,
VELR,2016-12-14 04:00,NSC,,,,,
VELR,2016-12-14 05:00,NSC,,,,,
VELR,2016-12-15 05:00,NSC,,,,,
VELR,2016-12-16 02:00,NSC,,,,,
VELR,2016-12-16 04:00,NSC,,,,,
VELR,2016-12-16 05:00,NSC,,,,,
VELR,2016-12-18 04:00,FEW,BKN,,2000.00,10000.00,
