station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VIBR,2016-01-13 01:00,NSC,,,,,
VIBR,2016-01-13 02:00,SCT,BKN,,3500.00,8000.00,
VIBR,2016-01-13 03:00,SCT,BKN,,3500.00,8000.00,
VIBR,2016-01-13 04:00,SCT,BKN,,3500.00,8000.00,
VIBR,2016-01-13 05:00,SCT,,,3500.00,,
VIBR,2016-01-13 06:00,SCT,,,3500.00,,
VIBR,2016-01-13 07:00,FEW,,,3500.00,,
VIBR,2016-01-13 08:00,FEW,,,3500.00,,
VIBR,2016-01-13 09:00,FEW,,,3500.00,,
VIBR,2016-01-14 02:00,SCT,BKN,,4000.00,8000.00,
VIBR,2016-01-14 03:00,SCT,BKN,,4000.00,8000.00,
VIBR,2016-01-14 04:00,SCT,,,4000.00,,
VIBR,2016-01-14 05:00,SCT,BKN,,4000.00,8000.00,
VIBR,2016-01-14 06:00,SCT,BKN,,4000.00,8000.00,
VIBR,2016-01-15 01:00,SCT,,,3500.00,,
VIBR,2016-01-15 02:00,FEW,,,3500.00,,
VIBR,2016-01-15 03:00,FEW,,,3500.00,,
VIBR,2016-01-15 04:00,FEW,,,3500.00,,
VIBR,2016-01-15 05:00,FEW,,,3500.00,,
VIBR,2016-01-15 06:00,FEW,,,3500.00,,
VIBR,2016-01-16 01:00,NSC,,,,,
VIBR,2016-01-16 02:00,NSC,,,,,
VIBR,2016-01-16 03:00,NSC,,,,,
VIBR,2016-01-16 04:00,NSC,,,,,
VIBR,2016-01-16 05:00,NSC,,,,,
VIBR,2016-01-17 01:00,NSC,,,,,
VIBR,2016-01-17 02:00,NSC,,,,,
VIBR,2016-01-17 03:00,NSC,,,,,
VIBR,2016-01-17 04:00,NSC,,,,,
VIBR,2016-01-17 05:00,NSC,,,,,
VIBR,2016-01-17 06:00,NSC,,,,,
VIBR,2016-01-18 01:00,NSC,,,,,
VIBR,2016-01-18 03:00,NSC,,,,,
VIBR,2016-01-18 06:00,FEW,,,4000.00,,
VIBR,2016-01-19 03:00,FEW,,,4000.00,,
VIBR,2016-01-19 04:00,FEW,,,4000.00,,
VIBR,2016-01-19 06:00,SCT,,,3500.00,,
VIBR,2016-01-21 06:00,NSC,,,,,
VIBR,2016-01-21 07:00,NSC,,,,,
VIBR,2016-01-21 08:00,NSC,,,,,
VIBR,2016-01-21 09:00,NSC,,,,,
VIBR,2016-01-22 08:00,NSC,,,,,
VIBR,2016-01-23 01:00,NSC,,,,,
VIBR,2016-01-23 02:00,NSC,,,,,
VIBR,2016-01-23 03:00,NSC,,,,,
VIBR,2016-01-23 04:00,NSC,,,,,
VIBR,2016-01-23 05:00,NSC,,,,,
VIBR,2016-01-23 06:00,NSC,,,,,
VIBR,2016-01-23 08:00,NSC,,,,,
VIBR,2016-01-23 09:00,NSC,,,,,
VIBR,2016-01-23 10:00,NSC,,,,,
VIBR,2016-01-24 03:00,NSC,,,,,
VIBR,2016-01-24 04:00,NSC,,,,,
VIBR,2016-01-24 05:00,NSC,,,,,
VIBR,2016-01-24 06:00,NSC,,,,,
VIBR,2016-01-24 07:00,NSC,,,,,
VIBR,2016-01-25 01:00,NSC,,,,,
VIBR,2016-01-25 02:00,NSC,,,,,
VIBR,2016-01-25 03:00,NSC,,,,,
VIBR,2016-01-25 04:00,NSC,,,,,
VIBR,2016-01-25 05:00,NSC,,,,,
VIBR,2016-01-25 06:00,NSC,,,,,
VIBR,2016-01-26 01:00,VV ,,,,,
VIBR,2016-01-26 03:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-26 04:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-26 05:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-26 06:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-27 01:00,FEW,,,3500.00,,
VIBR,2016-01-27 02:00,SCT,,,3500.00,,
VIBR,2016-01-27 03:00,SCT,,,3500.00,,
VIBR,2016-01-27 04:00,FEW,,,3500.00,,
VIBR,2016-01-27 05:00,FEW,,,3500.00,,
VIBR,2016-01-27 06:00,FEW,,,3500.00,,
VIBR,2016-01-28 01:00,NSC,,,,,
VIBR,2016-01-28 02:00,NSC,,,,,
VIBR,2016-01-28 03:00,NSC,,,,,
VIBR,2016-01-28 04:00,NSC,,,,,
VIBR,2016-01-28 05:00,NSC,,,,,
VIBR,2016-01-28 06:00,NSC,,,,,
VIBR,2016-01-29 01:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-29 02:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-29 03:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-29 04:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-29 05:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-29 06:00,SCT,OVC,,3500.00,8000.00,
VIBR,2016-01-30 01:00,FEW,BKN,OVC,500.00,3000.00,8000.00
VIBR,2016-01-30 02:00,FEW,BKN,,1000.00,3000.00,
VIBR,2016-01-30 03:00,FEW,SCT,,500.00,3000.00,
VIBR,2016-01-30 04:00,FEW,SCT,,1000.00,3000.00,
VIBR,2016-01-30 05:00,FEW,SCT,,1500.00,3000.00,
VIBR,2016-01-30 06:00,FEW,SCT,,1500.00,3000.00,
VIBR,2016-01-31 01:00,NSC,,,,,
VIBR,2016-01-31 02:00,FEW,,,3500.00,,
VIBR,2016-01-31 03:00,FEW,,,3500.00,,
VIBR,2016-01-31 04:00,SCT,,,3500.00,,
VIBR,2016-01-31 05:00,SCT,,,3500.00,,
VIBR,2016-01-31 06:00,FEW,,,3500.00,,
VIBR,2016-02-01 01:00,NSC,,,,,
VIBR,2016-02-01 02:00,NSC,,,,,
VIBR,2016-02-01 03:00,NSC,,,,,
VIBR,2016-02-01 04:00,FEW,,,1000.00,,
VIBR,2016-02-01 05:00,NSC,,,,,
VIBR,2016-02-01 06:00,NSC,,,,,
VIBR,2016-02-02 01:00,NSC,,,,,
VIBR,2016-02-02 03:00,FEW,,,4000.00,,
VIBR,2016-02-02 04:00,FEW,,,4000.00,,
