station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VIBY,2022-11-18 13:30,CLR,,,,,
VIBY,2022-11-18 14:30,CLR,,,,,
VIBY,2022-11-18 15:30,CLR,,,,,
VIBY,2022-11-18 16:30,CLR,,,,,
VIBY,2022-11-18 17:30,CLR,,,,,
VIBY,2022-11-18 18:00,CLR,,,,,
VIBY,2022-11-23 02:00,CLR,,,,,
VIBY,2022-11-23 06:30,CLR,,,,,
VIBY,2022-11-23 07:00,CLR,,,,,
VIBY,2022-11-27 01:30,FEW,,,25000.00,,
VIBY,2022-11-27 02:00,FEW,,,25000.00,,
VIBY,2022-11-27 03:30,,,,,,
VIBY,2022-11-27 04:00,FEW,,,25000.00,,
VIBY,2022-11-27 06:30,CLR,,,,,
VIBY,2022-12-18 00:30,,,,,,
VIBY,2022-12-18 07:30,CLR,,,,,
VIBY,2022-12-18 08:30,CLR,,,,,
VIBY,2022-12-18 11:30,CLR,,,,,
VIBY,2022-12-18 13:00,CLR,,,,,
VIBY,2022-12-19 03:30,,,,,,
VIBY,2022-12-19 04:30,CLR,,,,,
VIBY,2022-12-19 05:30,CLR,,,,,
VIBY,2022-12-19 06:00,CLR,,,,,
VIBY,2022-12-20 16:30,CLR,,,,,
VIBY,2022-12-20 22:30,,,,,,
VIBY,2022-12-20 23:30,,,,,,
VIBY,2022-12-21 00:30,,,,,,
VIBY,2022-12-21 01:00,,,,,,
VIBY,2022-12-21 08:30,CLR,,,,,
VIBY,2022-12-23 09:30,CLR,,,,,
VIBY,2022-12-23 10:00,CLR,,,,,
VIBY,2022-12-24 01:30,CLR,,,,,
VIBY,2022-12-24 02:30,FEW,,,10000.00,,
VIBY,2022-12-24 03:30,FEW,,,10000.00,,
VIBY,2022-12-24 06:30,CLR,,,,,
VIBY,2023-01-02 18:00,,,,,,
VIBY,2023-01-08 01:00,,,,,,
VIBY,2023-01-08 04:30,,,,,,
VIBY,2023-01-08 05:30,,,,,,
VIBY,2023-01-08 06:30,CLR,,,,,
VIBY,2023-01-08 15:30,CLR,,,,,
VIBY,2023-01-08 17:30,CLR,,,,,
VIBY,2023-01-14 16:30,,,,,,
VIBY,2023-01-16 03:30,CLR,,,,,
VIBY,2023-01-16 06:00,CLR,,,,,
VIBY,2023-01-16 14:30,CLR,,,,,
VIBY,2023-01-16 15:00,CLR,,,,,
VIBY,2023-01-16 17:30,CLR,,,,,
VIBY,2023-01-16 18:00,CLR,,,,,
VIBY,2023-01-17 15:00,CLR,,,,,
VIBY,2023-01-18 07:30,CLR,,,,,
VIBY,2023-01-20 08:00,CLR,,,,,
VIBY,2023-01-20 12:30,CLR,,,,,
VIBY,2023-01-22 00:30,CLR,,,,,
VIBY,2023-01-22 01:30,,,,,,
VIBY,2023-01-22 02:30,,,,,,
VIBY,2023-01-22 03:30,CLR,,,,,
VIBY,2023-01-22 04:30,CLR,,,,,
VIBY,2023-01-22 05:00,CLR,,,,,
VIBY,2023-01-23 14:00,FEW,BKN,,2500.00,10000.00,
VIBY,2023-01-23 15:30,SCT,BKN,,2500.00,9000.00,
VIBY,2023-01-24 00:30,SCT,FEW,BKN,2500.00,3000.00,9000.00
VIBY,2023-01-25 06:15,FEW,SCT,FEW,1500.00,2500.00,3000.00
VIBY,2023-01-29 12:30,FEW,SCT,,2500.00,10000.00,
VIBY,2023-01-29 13:00,SCT,SCT,,2500.00,10000.00,
VIBY,2023-02-03 15:30,CLR,,,,,
VIBY,2023-02-06 02:30,,,,,,
VIBY,2023-02-23 01:30,SCT,,,25000.00,,
