station,valid,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
VIKO,2016-01-24 06:00,NSC,,,,,
VIKO,2016-03-12 06:00,SCT,,,3000.00,,
VIKO,2016-04-20 09:00,NSC,,,,,
VIKO,2016-04-21 03:00,NSC,,,,,
VIKO,2016-04-21 06:00,NSC,,,,,
VIKO,2016-05-13 07:00,NSC,,,,,
VIKO,2016-06-06 06:00,NSC,,,,,
VIKO,2016-07-02 03:00,SCT,BKN,,3000.00,10000.00,
VIKO,2016-07-02 06:00,SCT,BKN,,3000.00,10000.00,
VIKO,2016-08-06 09:00,BKN,,,3000.00,,
VIKO,2016-08-23 03:00,BKN,OVC,,2500.00,10000.00,
VIKO,2016-09-01 01:00,BKN,BKN,,2500.00,10000.00,
VIKO,2016-09-01 02:00,FEW,SCT,,2500.00,10000.00,
VIKO,2016-09-01 03:00,FEW,SCT,,2500.00,10000.00,
VIKO,2016-09-02 01:00,SCT,BKN,,3000.00,10000.00,
VIKO,2016-09-02 03:00,FEW,SCT,,3000.00,10000.00,
VIKO,2016-09-02 04:00,SCT,BKN,,3000.00,10000.00,
VIKO,2016-09-02 05:00,SCT,BKN,,3000.00,10000.00,
VIKO,2016-09-02 06:00,SCT,BKN,,3000.00,10000.00,
VIKO,2016-09-03 00:00,NSC,,,,,
VIKO,2016-09-03 01:00,BKN,,,3000.00,,
VIKO,2016-09-03 02:00,BKN,,,3000.00,,
VIKO,2016-09-04 00:00,SCT,,,3000.00,,
VIKO,2016-09-04 01:00,SCT,,,3000.00,,
VIKO,2016-09-04 02:00,BKN,,,3000.00,,
VIKO,2016-09-04 03:00,SCT,,,10000.00,,
VIKO,2016-09-04 04:00,FEW,SCT,,3000.00,10000.00,
VIKO,2016-09-04 05:00,SCT,BKN,,3000.00,10000.00,
VIKO,2016-09-04 06:00,SCT,BKN,,3000.00,10000.00,
VIKO,2016-09-05 00:00,FEW,,,3000.00,,
VIKO,2016-09-05 01:00,SCT,,,3000.00,,
VIKO,2016-09-05 03:00,FEW,FEW,,3000.00,10000.00,
VIKO,2016-09-05 04:00,BKN,,,2500.00,,
VIKO,2016-09-05 05:00,BKN,,,2500.00,,
VIKO,2016-09-05 06:00,BKN,,,2500.00,,
VIKO,2016-09-06 00:00,NSC,,,,,
VIKO,2016-09-06 01:00,FEW,,,3000.00,,
VIKO,2016-09-06 03:00,SCT,SCT,,3000.00,10000.00,
VIKO,2016-09-06 04:00,FEW,SCT,,3000.00,10000.00,
VIKO,2016-09-06 06:00,FEW,SCT,,3000.00,10000.00,
VIKO,2016-09-06 07:00,FEW,SCT,,3000.00,10000.00,
VIKO,2016-09-07 00:00,NSC,,,,,
VIKO,2016-09-08 00:00,SCT,,,3000.00,,
VIKO,2016-09-08 01:00,FEW,FEW,,3000.00,10000.00,
VIKO,2016-09-08 02:00,FEW,,,3000.00,,
VIKO,2016-09-08 03:00,NSC,,,,,
VIKO,2016-09-08 04:00,FEW,,,3000.00,,
VIKO,2016-09-08 05:00,FEW,SCT,,3000.00,10000.00,
VIKO,2016-09-08 06:00,SCT,,,3000.00,,
VIKO,2016-09-09 00:00,,,,,,
VIKO,2016-09-09 01:00,FEW,,,3000.00,,
VIKO,2016-09-09 03:00,NSC,,,,,
VIKO,2016-09-09 04:00,NSC,,,,,
VIKO,2016-09-09 06:00,SCT,,,2500.00,,
VIKO,2016-09-10 00:00,NSC,,,,,
VIKO,2016-09-10 01:00,NSC,,,,,
VIKO,2016-09-10 02:00,NSC,,,,,
VIKO,2016-09-10 03:00,SCT,,,20000.00,,
VIKO,2016-09-11 00:00,NSC,,,,,
VIKO,2016-09-11 01:00,NSC,,,,,
VIKO,2016-09-11 02:00,NSC,,,,,
VIKO,2016-09-11 03:00,NSC,,,,,
VIKO,2016-09-12 00:00,SCT,,,3000.00,,
VIKO,2016-09-12 01:00,SCT,,,3000.00,,
VIKO,2016-09-12 02:00,SCT,,,3000.00,,
VIKO,2016-09-12 03:00,NSC,,,,,
VIKO,2016-09-12 04:00,NSC,,,,,
VIKO,2016-09-12 05:00,FEW,,,3000.00,,
VIKO,2016-09-12 06:00,SCT,,,3000.00,,
VIKO,2016-09-13 00:00,NSC,,,,,
VIKO,2016-09-13 01:00,FEW,,,20000.00,,
VIKO,2016-09-13 04:00,NSC,,,,,
VIKO,2016-09-13 05:00,NSC,,,,,
VIKO,2016-09-14 00:00,SCT,SCT,,2500.00,10000.00,
VIKO,2016-09-14 01:00,SCT,BKN,,2500.00,10000.00,
VIKO,2016-09-14 03:00,BKN,BKN,,3000.00,10000.00,
VIKO,2016-09-14 04:00,SCT,SCT,,3000.00,10000.00,
VIKO,2016-09-14 05:00,FEW,SCT,,3000.00,10000.00,
VIKO,2016-09-14 06:00,SCT,SCT,,3000.00,10000.00,
VIKO,2016-09-15 00:00,SCT,SCT,,3000.00,10000.00,
VIKO,2016-09-15 01:00,BKN,BKN,,3000.00,10000.00,
VIKO,2016-09-15 02:00,FEW,,,3000.00,,
VIKO,2016-09-15 03:00,FEW,FEW,,3000.00,10000.00,
VIKO,2016-09-15 04:00,FEW,FEW,,3000.00,10000.00,
VIKO,2016-09-15 05:00,FEW,FEW,,3000.00,10000.00,
VIKO,2016-09-15 06:00,FEW,FEW,,3000.00,10000.00,
VIKO,2016-09-16 00:00,SCT,,,3000.00,,
VIKO,2016-09-16 01:00,FEW,,,3000.00,,
VIKO,2016-09-16 02:00,FEW,,,3000.00,,
VIKO,2016-09-16 03:00,FEW,SCT,BKN,3000.00,10000.00,20000.00
VIKO,2016-09-16 04:00,SCT,BKN,,10000.00,20000.00,
VIKO,2016-09-16 05:00,FEW,SCT,,10000.00,20000.00,
VIKO,2016-09-16 06:00,FEW,SCT,,10000.00,20000.00,
