icao,cat1_m,sacat1_m,cat2_m,cat3_m
KAAO,805,,,
KABE,732,427,366,
KABI,732,,,
KABQ,549,,,
KABR,805,,,
KABY,732,,,
KACJ,1207,,,
KACK,549,,,
KACT,732,,,
KACV,549,,,
KACY,549,,,
KADM,805,,,
KADS,1207,,,
KAEG,805,,,
KAEX,732,,,
KAFJ,1207,,,
KAFP,1609,,,
KAFW,549,,366,183
KAGC,732,,,
KAGS,732,,,
KAHN,1207,,,
KAID,1207,,,
KAIK,1207,,,
KALB,549,,366,
KALN,805,,,
KALO,732,,,
KALS,805,,,
KALW,732,,,
KAMA,732,,,
KAMW,805,,,
KANB,805,,,
KAND,805,,,
KANE,805,,,
KAOH,1207,,,
KAOO,805,,,
KAPA,805,,,
KAPC,1207,,,
KAPN,805,,,
KARA,805,,,
KARR,805,,,
KART,805,,,
KASG,1207,,,
KASH,805,,,
KASN,1207,,,
KAST,1609,,,
KASW,1207,,,
KATL,549,427,366,91
KATW,732,,,
KATY,805,,,
KAUG,805,,,
KAUM,805,,,
KAUO,1207,,,
KAUS,549,427,366,183
KAVL,732,,,
KAVP,732,,,
KAWM,805,,,
KAXN,1207,,,
KAYS,805,,,
KAZO,732,,,
KBAF,732,,,
KBAK,805,,,
KBBG,1609,,,
KBDH,1207,,,
KBDL,549,427,366,183
KBDR,1207,,,
KBED,732,,,
KBEH,805,,,
KBFD,1609,,,
KBFF,805,,,
KBFI,1219,,,
KBFL,549,,,
KBFM,549,,,
KBGE,805,,,
KBGM,732,,,
KBGR,549,427,366,183
KBHB,1207,,,
KBHM,549,,366,
KBIL,732,,,
KBIS,732,,,
KBIV,805,,,
KBJC,805,,,
KBJI,805,,,
KBKL,1207,,,
KBKV,805,,,
KBKW,805,,,
KBKX,805,,,
KBLF,1408,,,
KBLI,732,427,,
KBLV,732,,,
KBMG,805,,,
KBMI,549,,366,
KBNA,549,427,366,183
KBOI,549,427,366,91
KBOS,549,427,366,183
KBPK,1207,,,
KBPT,1219,,,
KBQK,805,,,
KBRD,805,,,
KBRL,805,,,
KBRO,732,,,
KBTL,732,,,
KBTM,805,,,
KBTP,1207,,,
KBTR,549,,488,
KBTV,1219,,,
KBUF,549,427,,
KBUR,1524,,,
KBUY,1207,,,
KBWG,1207,,,
KBWI,549,427,366,183
KBXM,805,,,
KBYH,1207,,,
KBZN,805,,,
KCAD,1207,,,
KCAE,549,,366,183
KCAK,732,,,
KCBF,1207,,,
KCCO,1207,,,
KCDC,805,,,
KCDR,1609,,,
KCEC,1207,,,
KCEV,805,,,
KCEW,1207,,,
KCFO,805,,,
KCGF,805,,,
KCGI,805,,,
KCGZ,805,,,
KCHA,549,,366,
KCHO,805,,,
KCHS,549,427,366,
KCIC,805,,,
KCID,732,,,
KCIU,805,,,
KCKB,732,,,
KCLE,549,427,366,183
KCLL,805,,,
KCLM,805,,,
KCLT,549,427,366,183
KCMH,549,427,366,
KCMI,732,,,
KCMX,805,,,
KCNM,805,,,
KCNO,1207,,,
KCNW,805,,,
KCOE,805,,,
KCON,805,,,
KCOS,549,427,366,
KCOU,732,,,
KCPK,805,,,
KCPR,732,,,
KCPS,805,,,
KCRE,805,,,
KCRG,1609,,,
KCRP,732,,,
KCRQ,1219,,,
KCRW,1219,,,
KCRX,805,,,
KCSG,1219,,,
KCSM,1207,,,
KCSV,1609,,,
KCTJ,1207,,,
KCVG,549,427,366,213
KCVN,805,,,
KCVO,805,,,
KCWA,805,,,
KCWF,805,,,
KCWI,805,,,
KCXO,805,,,
KCXY,2012,,,
KDAB,805,,,
KDAL,549,427,366,
KDAN,805,,,
KDAY,549,,366,183
KDBN,805,,,
KDBQ,732,,,
KDCA,549,427,366,
KDCU,1207,,,
KDDC,805,,,
KDEC,732,,,
KDEN,549,427,366,91
KDET,1207,,,
KDFW,549,427,366,183
KDHN,732,,,
KDIK,805,,,
KDKB,805,,,
KDLH,549,427,366,
KDNN,1207,,,
KDNV,805,,,
KDPA,805,,,
KDQH,805,,,
KDRO,805,,,
KDRT,1207,,,
KDSM,549,427,366,183
KDTO,805,,,
KDTW,549,427,366,183
KDUJ,805,,,
KDVL,805,,,
KDVN,805,,,
KEAR,805,,,
KEAT,1609,,,
KEAU,805,,,
KECG,1207,,,
KECP,732,427,366,
KEDE,1207,,,
KEEN,1609,,,
